ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0030198,extracellular matrix organization,21/132,293/13664,6.48E-13,6.23E-10,4.56E-10,Col11a1/Lox/Col1a1/Sfrp2/Fn1/Adamts14/Col1a2/Col16a1/Eln/Efemp2/Col5a3/Scara3/Tnfrsf11b/Mmp14/Ptx3/Acan/Itga8/Slc39a8/Aplp1/Grem1/Lgals3,21
GO:0045229,external encapsulating structure organization,21/132,293/13664,6.48E-13,6.23E-10,4.56E-10,Col11a1/Lox/Col1a1/Sfrp2/Fn1/Adamts14/Col1a2/Col16a1/Eln/Efemp2/Col5a3/Scara3/Tnfrsf11b/Mmp14/Ptx3/Acan/Itga8/Slc39a8/Aplp1/Grem1/Lgals3,21
GO:0043062,extracellular structure organization,21/132,294/13664,6.92E-13,6.23E-10,4.56E-10,Col11a1/Lox/Col1a1/Sfrp2/Fn1/Adamts14/Col1a2/Col16a1/Eln/Efemp2/Col5a3/Scara3/Tnfrsf11b/Mmp14/Ptx3/Acan/Itga8/Slc39a8/Aplp1/Grem1/Lgals3,21
GO:0007160,cell-matrix adhesion,15/132,217/13664,2.66E-09,1.80E-06,1.31E-06,Tnn/Thy1/Fn1/Itga11/Serpine1/Col16a1/Efemp2/Col5a3/Hpse/Mmp14/Itgb2/Plau/Itga8/Wnt4/Grem1,15
GO:0030199,collagen fibril organization,9/132,59/13664,4.65E-09,2.51E-06,1.84E-06,Col11a1/Lox/Col1a1/Sfrp2/Adamts14/Col1a2/Efemp2/Acan/Grem1,9
GO:0050764,regulation of phagocytosis,11/132,107/13664,6.33E-09,2.85E-06,2.09E-06,Itgb2/Trem2/Ptx3/Cd300lf/Clec7a/Slc11a1/Siglec1/Scarb1/Fcgr2b/Hck/Cd300a,11
GO:0002683,negative regulation of immune system process,20/132,461/13664,1.71E-08,6.62E-06,4.84E-06,Thy1/Tmem178a/Ccn3/Fn1/Enpp3/Slit2/Il1rl1/Snai2/Tnfrsf11b/Svep1/Trem2/Cd300lf/Cd33/Arg1/Fcgr2b/Gpnmb/Cd300a/Grem1/Cd68/Lgals3,20
GO:0031589,cell-substrate adhesion,17/132,349/13664,4.23E-08,1.41E-05,1.03E-05,Tnn/Col1a1/Thy1/Fn1/Ptn/Itga11/Serpine1/Col16a1/Efemp2/Col5a3/Hpse/Mmp14/Itgb2/Plau/Itga8/Wnt4/Grem1,17
GO:0030100,regulation of endocytosis,16/132,309/13664,4.70E-08,1.41E-05,1.03E-05,Serpine1/Sfrp4/Scamp5/Itgb2/Trem2/Ptx3/Cd300lf/Clec7a/Slc11a1/Siglec1/Scarb1/Fcgr2b/Hck/Cd300a/Grem1/Lgals3,16
GO:0006909,phagocytosis,13/132,203/13664,8.00E-08,1.98E-05,1.45E-05,Itgb2/Trem2/Ptx3/Cd300lf/Clec7a/Slc11a1/Siglec1/Scarb1/Abca1/Spon2/Fcgr2b/Hck/Cd300a,13
GO:0033627,cell adhesion mediated by integrin,9/132,81/13664,8.07E-08,1.98E-05,1.45E-05,Sfrp2/Ccn3/Itga11/Serpine1/Col16a1/Snai2/Itgb2/Plau/Itga8,9
GO:2000027,regulation of animal organ morphogenesis,10/132,111/13664,1.13E-07,2.55E-05,1.87E-05,Cthrc1/Sfrp2/Ptk7/Snai2/Tnfrsf11b/Ror2/Agtr1a/Runx2/Wnt4/Grem1,10
GO:0001503,ossification,17/132,413/13664,4.69E-07,9.76E-05,7.14E-05,Tnn/Col11a1/Lox/Col1a1/Cthrc1/Sfrp2/Fn1/Ptn/Col1a2/Snai2/Mmp14/Ror2/Acan/Runx2/Gpnmb/Wnt4/Grem1,17
GO:0002685,regulation of leukocyte migration,12/132,216/13664,1.18E-06,0.000228628,0.000167296,Thy1/Ccn3/Plvap/Ptn/Serpine1/Slit2/Mmp14/Adam8/Trem2/Cd300a/Grem1/Lgals3,12
GO:0001525,angiogenesis,18/132,500/13664,1.47E-06,0.000256963,0.00018803,Tnn/Thy1/Sfrp2/Ccn3/Fn1/Anpep/Ptn/Serpine1/Srpx2/Slit2/Hpse/Mmp14/Adam8/Itgb2/Agtr1a/Plau/Grem1/Lgals3,18
GO:0050900,leukocyte migration,15/132,352/13664,1.52E-06,0.000256963,0.00018803,Thy1/Ccn3/Plvap/Ptn/Serpine1/Slit2/Mmp14/Adam8/Itgb2/Ror2/Trem2/Slamf9/Cd300a/Grem1/Lgals3,15
GO:0002274,myeloid leukocyte activation,12/132,240/13664,3.56E-06,0.000565579,0.000413857,Thy1/Fn1/Enpp3/Serpine1/Il1rl1/Itgb2/Stxbp2/Trem2/Cd300lf/Slc11a1/Cd33/Cd300a,12
GO:0048771,tissue remodeling,11/132,202/13664,4.08E-06,0.000613344,0.000448809,Cthrc1/Ptn/Eln/Sfrp4/Tnfrsf11b/Mmp14/Adam8/Ptprv/Arg1/Gpnmb/Grem1,11
GO:0006910,"phagocytosis, recognition",5/132,28/13664,6.41E-06,0.00087722,0.000641897,Trem2/Ptx3/Clec7a/Scarb1/Spon2,5
GO:0097529,myeloid leukocyte migration,11/132,212/13664,6.49E-06,0.00087722,0.000641897,Ccn3/Serpine1/Slit2/Mmp14/Adam8/Itgb2/Ror2/Trem2/Cd300a/Grem1/Lgals3,11
GO:0006929,substrate-dependent cell migration,5/132,29/13664,7.69E-06,0.000945386,0.000691777,Fn1/Itga11/Slit2/Snai2/Adam8,5
GO:0050766,positive regulation of phagocytosis,7/132,75/13664,7.69E-06,0.000945386,0.000691777,Itgb2/Trem2/Ptx3/Cd300lf/Clec7a/Slc11a1/Fcgr2b,7
GO:0045807,positive regulation of endocytosis,10/132,178/13664,8.66E-06,0.001017816,0.000744777,Serpine1/Sfrp4/Itgb2/Trem2/Ptx3/Cd300lf/Clec7a/Slc11a1/Fcgr2b/Grem1,10
GO:0035567,non-canonical Wnt signaling pathway,6/132,51/13664,9.14E-06,0.001029793,0.000753541,Cthrc1/Sfrp2/Ptk7/Sfrp4/Ror2/Wnt4,6
GO:0010810,regulation of cell-substrate adhesion,11/132,222/13664,1.01E-05,0.001086908,0.000795334,Col1a1/Thy1/Fn1/Ptn/Serpine1/Col16a1/Efemp2/Mmp14/Plau/Wnt4/Grem1,11
GO:0032963,collagen metabolic process,8/132,112/13664,1.26E-05,0.00130529,0.000955133,Col1a1/Fn1/Serpine1/Col1a2/Mmp14/Ctsb/Arg1/Wnt4,8
GO:0006911,"phagocytosis, engulfment",6/132,57/13664,1.76E-05,0.001759072,0.001287184,Itgb2/Trem2/Clec7a/Abca1/Fcgr2b/Cd300a,6
GO:0002062,chondrocyte differentiation,8/132,118/13664,1.84E-05,0.001776606,0.001300015,Col11a1/Sfrp2/Ccn3/Snai2/Ror2/Acan/Runx2/Grem1,8
GO:0001952,regulation of cell-matrix adhesion,8/132,123/13664,2.49E-05,0.002313876,0.001693157,Thy1/Serpine1/Col16a1/Efemp2/Mmp14/Plau/Wnt4/Grem1,8
GO:0019221,cytokine-mediated signaling pathway,14/132,392/13664,2.57E-05,0.002313876,0.001693157,Plvap/Slit3/Slit2/Il1rl1/Irf7/Mx1/Trem2/Cd300lf/Il17re/Lilrb3/Lilrb2/Arg1/Oasl/Slc1a1,14
GO:0006935,chemotaxis,14/132,394/13664,2.72E-05,0.00236846,0.001733098,Lox/Ccn3/Fn1/Slit3/Ptn/Serpine1/Slit2/Adam8/Itgb2/Trem2/Agtr1a/Slamf9/Grem1/Lgals3,14
GO:0042330,taxis,14/132,396/13664,2.87E-05,0.002425951,0.001775166,Lox/Ccn3/Fn1/Slit3/Ptn/Serpine1/Slit2/Adam8/Itgb2/Trem2/Agtr1a/Slamf9/Grem1/Lgals3,14
GO:0008037,cell recognition,8/132,126/13664,2.96E-05,0.002426372,0.001775475,Tnn/Emb/Trem2/Ptx3/Clec7a/Scarb1/Spon2/Lgals3,8
GO:0099024,plasma membrane invagination,6/132,65/13664,3.75E-05,0.00298511,0.002184326,Itgb2/Trem2/Clec7a/Abca1/Fcgr2b/Cd300a,6
GO:0071496,cellular response to external stimulus,14/132,411/13664,4.31E-05,0.003330342,0.002436946,Col1a1/Sfrp2/Ptn/Serpine1/Cdkn2b/Eln/Il1rl1/Snai2/Tnc/Ctsb/Asns/Runx2/Wnt4/Cd68,14
