"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","29/134","358/13952",4.34095341566273e-19,4.40606717224459e-17,3.72517437295036e-17,"Col12a1/Tnn/Col11a1/Lox/Col1a1/Cthrc1/Sfrp2/Ccn3/Fn1/Adamts14/Ptn/Serpine1/Col1a2/Col16a1/Eln/Efemp2/Col5a3/Scara3/Il1rl1/Hpse/Tnfrsf11b/Mmp14/Tnc/Svep1/Ptx3/Acan/Spon2/Wnt4/Lgals3",29
"GO:0030312","external encapsulating structure","29/134","359/13952",4.68730550238786e-19,4.40606717224459e-17,3.72517437295036e-17,"Col12a1/Tnn/Col11a1/Lox/Col1a1/Cthrc1/Sfrp2/Ccn3/Fn1/Adamts14/Ptn/Serpine1/Col1a2/Col16a1/Eln/Efemp2/Col5a3/Scara3/Il1rl1/Hpse/Tnfrsf11b/Mmp14/Tnc/Svep1/Ptx3/Acan/Spon2/Wnt4/Lgals3",29
"GO:0062023","collagen-containing extracellular matrix","18/134","232/13952",8.11563602007035e-12,5.08579857257742e-10,4.29986329484429e-10,"Col12a1/Tnn/Col11a1/Lox/Col1a1/Sfrp2/Ccn3/Fn1/Ptn/Serpine1/Col1a2/Col16a1/Eln/Efemp2/Col5a3/Scara3/Tnc/Acan",18
"GO:0005581","collagen trimer","8/134","49/13952",1.90019255886564e-08,8.9309050266685e-07,7.55076516812398e-07,"Col12a1/Col11a1/Lox/Col1a1/Cthrc1/Col1a2/Col16a1/Col5a3",8
"GO:0009897","external side of plasma membrane","17/134","379/13952",1.29702949307715e-07,4.8768308939701e-06,4.12318849378211e-06,"Thy1/Anpep/Enpp3/Itga11/Sdc1/Clec2dl1/Il1rl1/Ctsb/Itgb2/Clec7a/Cd8a/Cd33/Abca1/Itga8/Fcgr2b/Slamf9/Lgals3",17
"GO:0005583","fibrillar collagen trimer","4/134","11/13952",2.5481295740972e-06,6.8435479990039e-05,5.78597843140868e-05,"Col11a1/Col1a1/Col1a2/Col5a3",4
"GO:0098643","banded collagen fibril","4/134","11/13952",2.5481295740972e-06,6.8435479990039e-05,5.78597843140868e-05,"Col11a1/Col1a1/Col1a2/Col5a3",4
"GO:0098636","protein complex involved in cell adhesion","6/134","45/13952",4.20119322675815e-06,9.87280408288166e-05,8.34710759526949e-05,"Tnn/Itga11/Tnc/Itgb2/Plau/Itga8",6
"GO:0098644","complex of collagen trimers","4/134","17/13952",1.75723579594138e-05,0.000340217807279364,0.000287642155090616,"Col11a1/Col1a1/Col1a2/Col5a3",4
"GO:0045121","membrane raft","12/134","285/13952",1.92268324239805e-05,0.000340217807279364,0.000287642155090616,"Thy1/Plvap/Hpse/Ctsb/Itgb2/Trem2/Scarb1/Stom/Cd8a/Abca1/Hck/Slc1a1",12
"GO:0098857","membrane microdomain","12/134","286/13952",1.99063610642181e-05,0.000340217807279364,0.000287642155090616,"Thy1/Plvap/Hpse/Ctsb/Itgb2/Trem2/Scarb1/Stom/Cd8a/Abca1/Hck/Slc1a1",12
"GO:0000323","lytic vacuole","15/134","451/13952",2.81143463107246e-05,0.000406576700493556,0.000343746258535986,"Nsg1/Gusb/Ramp3/Hpse/Ctsb/Adam8/Stxbp2/Slc11a1/Scarb1/Ctsz/Hck/Slc39a8/Slc26a11/Cd68/Serpinb1a",15
"GO:0005764","lysosome","15/134","451/13952",2.81143463107246e-05,0.000406576700493556,0.000343746258535986,"Nsg1/Gusb/Ramp3/Hpse/Ctsb/Adam8/Stxbp2/Slc11a1/Scarb1/Ctsz/Hck/Slc39a8/Slc26a11/Cd68/Serpinb1a",15
"GO:0045177","apical part of cell","14/134","463/13952",0.000145100601169206,0.00194849378712934,0.00164738276515415,"Thy1/Fn1/Enpp3/Ctsb/Stxbp2/Kcnn4/Scarb1/Specc1/Abca1/Itga8/Slc39a8/Reg3b/Slc26a11/Slc1a1",14
"GO:0044853","plasma membrane raft","7/134","127/13952",0.000221165007561003,0.00277193476143124,0.00234357306257625,"Plvap/Ctsb/Itgb2/Trem2/Scarb1/Cd8a/Hck",7
"GO:0016324","apical plasma membrane","11/134","371/13952",0.000898139767958415,0.0105531422735114,0.00892230953695531,"Thy1/Fn1/Enpp3/Ctsb/Stxbp2/Kcnn4/Scarb1/Abca1/Slc39a8/Slc26a11/Slc1a1",11
"GO:0005604","basement membrane","5/134","102/13952",0.00300088508319681,0.0331862585671177,0.0280578109945956,"Fn1/Ptn/Efemp2/Tnc/Acan",5
"GO:0008305","integrin complex","3/134","31/13952",0.00319876968354898,0.0334093722504005,0.0282464457436197,"Itga11/Itgb2/Itga8",3
"GO:0044194","cytolytic granule","2/134","10/13952",0.00391740025221434,0.0387616446008577,0.0327716032179704,"Stxbp2/Serpinb1a",2
"GO:0099535","synapse-associated extracellular matrix","2/134","11/13952",0.00475790998922384,0.0447243538987041,0.0378128635985684,"Tnc/Acan",2
