"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043394","proteoglycan binding","9/124","36/12520",5.13963979824794e-11,1.72691897221131e-08,1.44450929066547e-08,"Fn1/Ptn/Slit2/Col5a3/Hpse/Tnc/Ctsb/Fst/Gpnmb",9
"GO:0005201","extracellular matrix structural constituent","9/124","56/12520",3.50319091788885e-09,5.88536074205327e-07,4.92290513198065e-07,"Col12a1/Col11a1/Col1a1/Fn1/Col1a2/Col16a1/Eln/Col5a3/Scara3",9
"GO:0005539","glycosaminoglycan binding","14/124","192/12520",6.15687081808849e-09,6.89569531625911e-07,5.76801581905132e-07,"Col11a1/Cemip/Ccn3/Fn1/Slit3/Ptn/Efemp2/Slit2/Col5a3/Trem2/Acan/Gpnmb/Reg3b/Aplp1",14
"GO:0005178","integrin binding","12/124","138/12520",1.10440338618476e-08,9.27698844395201e-07,7.7598869502982e-07,"Tnn/Thy1/Sfrp2/Ccn3/Fn1/Ptn/Itga11/Col16a1/Mmp14/Itgb2/Itga8/Gpnmb",12
"GO:0050839","cell adhesion molecule binding","15/124","265/12520",5.2414861518383e-08,3.52227869403534e-06,2.94626695271753e-06,"Tnn/Thy1/Sfrp2/Ccn3/Fn1/Ptn/Itga11/Col16a1/Pkp1/Emb/Mmp14/Adam8/Itgb2/Itga8/Gpnmb",15
"GO:0030020","extracellular matrix structural constituent conferring tensile strength","6/124","31/12520",5.02501091303172e-07,2.81400611129776e-05,2.35382090136749e-05,"Col11a1/Col1a1/Col1a2/Col16a1/Col5a3/Scara3",6
"GO:0008201","heparin binding","10/124","141/12520",1.30404699369518e-06,6.25942556973684e-05,5.2357977040092e-05,"Col11a1/Ccn3/Fn1/Slit3/Ptn/Efemp2/Slit2/Col5a3/Gpnmb/Aplp1",10
"GO:1901681","sulfur compound binding","12/124","234/12520",3.44496631482754e-06,0.000144688585222757,0.000121027106060389,"Col11a1/Ccn3/Fn1/Slit3/Ptn/Efemp2/Slit2/Col5a3/Fst/Soat1/Gpnmb/Aplp1",12
"GO:0008035","high-density lipoprotein particle binding","3/124","10/12520",0.000108159852133372,0.00388935609513329,0.0032533147788239,"Trem2/Scarb1/Abca1",3
"GO:0017147","Wnt-protein binding","4/124","26/12520",0.000115754645688491,0.00388935609513329,0.0032533147788239,"Cthrc1/Sfrp2/Sfrp4/Ror2",4
"GO:0030246","carbohydrate binding","9/124","223/12520",0.000370020364349696,0.0113024402201362,0.009454108830753,"P4ha3/Ptn/Clec2dl1/Gusb/Ptx3/Clec7a/Acan/Reg3b/Lgals3",9
"GO:0001846","opsonin binding","3/124","16/12520",0.000483269191493318,0.0135315373618129,0.0113186731691856,"Itgb2/Ptx3/Clec7a",3
"GO:0034185","apolipoprotein binding","3/124","19/12520",0.000818279251105124,0.0211493714131786,0.0176907336068881,"Trem2/Scarb1/Abca1",3
"GO:0030545","signaling receptor regulator activity","11/124","368/12520",0.00105912169767247,0.0254189207441392,0.0212620671638007,"Sfrp2/Ccn3/Ptn/Slit2/Tnfrsf11b/Fst/Gpnmb/Reg3b/Wnt4/Grem1/Lgals3",11
"GO:0033218","amide binding","10/124","321/12520",0.00131695610318045,0.0294998167112422,0.0246755985648548,"Cemip/Anpep/Ctsb/Itgb2/Trem2/Cd300lf/Scarb1/Soat1/Fcgr2b/Slc1a1",10
"GO:0048018","receptor ligand activity","10/124","334/12520",0.00176874469703024,0.037143638637635,0.0310693969807285,"Sfrp2/Ccn3/Ptn/Slit2/Tnfrsf11b/Gpnmb/Reg3b/Wnt4/Grem1/Lgals3",10
"GO:0030546","signaling receptor activator activity","10/124","341/12520",0.0020597393890374,0.037873751910198,0.0316801120301468,"Sfrp2/Ccn3/Ptn/Slit2/Tnfrsf11b/Gpnmb/Reg3b/Wnt4/Grem1/Lgals3",10
"GO:0019838","growth factor binding","6/124","135/12520",0.00222084696577876,0.037873751910198,0.0316801120301468,"Col1a1/Ptn/Col1a2/Igfbp4/Srpx2/Reg3b",6
"GO:0001530","lipopolysaccharide binding","3/124","27/12520",0.00233150313600974,0.037873751910198,0.0316801120301468,"Trem2/Scarb1/Spon2",3
"GO:0001540","amyloid-beta binding","4/124","57/12520",0.00241476067664314,0.037873751910198,0.0316801120301468,"Itgb2/Trem2/Scarb1/Fcgr2b",4
"GO:0050840","extracellular matrix binding","4/124","58/12520",0.00257402547480368,0.037873751910198,0.0316801120301468,"Eln/Sdc1/Slit2/Lgals3",4
"GO:0071813","lipoprotein particle binding","3/124","28/12520",0.00259254849385284,0.037873751910198,0.0316801120301468,"Trem2/Scarb1/Abca1",3
"GO:0071814","protein-lipid complex binding","3/124","28/12520",0.00259254849385284,0.037873751910198,0.0316801120301468,"Trem2/Scarb1/Abca1",3
"GO:0038024","cargo receptor activity","4/124","59/12520",0.00274036018841458,0.0383650426378042,0.0320910601011708,"Sdc1/Itgb2/Scarb1/Abca1",4
"GO:0001786","phosphatidylserine binding","4/124","63/12520",0.00347944377882856,0.0467637243874559,0.0391162732188306,"Trem2/Cd300lf/Scarb1/Cd300a",4
