"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002683","negative regulation of immune system process","81/1000","461/13664",7.50494940961086e-14,3.91608260193495e-10,3.10546906622951e-10,"Thy1/Tmem178a/Ccn3/Fn1/Enpp3/Col3a1/Slit2/Il1rl1/Snai2/Cd44/Tnfrsf11b/Svep1/Trem2/Cd300lf/Il33/Cd33/Grn/Tyrobp/Oas1a/Pla2g2a/Arg1/Fcgr2b/Gpnmb/Tnfaip8l2/Il10/Cxcl12/Stap1/Milr1/Cd300a/Dtx1/Tnfaip6/Dhx58/Rin3/Fcer1g/Cd68/Grem1/Lgals3/Tnfrsf21/Twist1/Tmem176a/Thbs1/Nod2/Nckap1l/Acp5/Cd200r1/Siglec10/Cd37/Clec2d/Padi2/Laptm5/Mafb/Cdkn2a/Lilrb4/Mmp12/Masp1/Klrd1/Pawr/Pla2g5/Aurkb/Rab7b/Prdm1/Hmox1/Sfrp1/Tbx21/Runx1/Btk/Dpp4/Spi1/Cx3cl1/Tnfaip3/Oas3/Nlrc5/Irf4/Flt3/Itch/Lst1/Mertk/Tnfsf4/Ido1/Fbxl2/Tnfrsf14",81
"GO:0097529","myeloid leukocyte migration","49/1000","212/13664",2.68453824776366e-13,7.00396028841539e-10,5.55416834313629e-10,"Ccn3/Serpine1/Slit2/Mmp14/Adam8/Itgb2/Ror2/Trem2/Lgmn/Scg2/Syk/Cxcl12/Stap1/Cd300a/Myo1f/Tnfaip6/P2rx4/Rin3/Fut7/Enpp1/Fcer1g/Trem1/Retnlg/Grem1/Lgals3/Thbs4/Thbs1/Vav1/Nod2/Itgam/Dnm1l/Nckap1l/Cd200r1/Mmp9/Ccl1/Pla2g7/Cxcl11/Pdgfd/Pawr/Cxcr1/Cxcl9/Spp1/Ccl7/Dpp4/Ccl11/Spi1/Cx3cl1/Ccl12/Cxcl6",49
"GO:0030198","extracellular matrix organization","59/1000","293/13664",5.99109459170209e-13,7.01449116151186e-10,5.5625193673525e-10,"Col11a1/Lox/Col1a1/Fkbp10/Col5a2/Sfrp2/Fn1/Adamts14/Col5a1/Col1a2/Tgfbi/Col16a1/Mmp23/Eln/Col3a1/P3h4/Serpinh1/Col18a1/Efemp2/Col5a3/Scara3/Col6a1/Mmp14/Tnfrsf11b/Olfml2b/Adamts16/Aebp1/Ptx3/Postn/Acan/Ccn2/Itga8/Mmp19/Col8a1/P3h1/Col9a2/Slc39a8/Pdpn/Creb3l1/Aplp1/Grem1/Lgals3/Adamts15/Mmp9/Ctss/Mmp16/Adamtsl1/Mmp12/Lamb3/Hmcn1/Dpp4/Adamts4/Adamts19/Ibsp/Olfml2a/Cma1/Col4a3/Ccn1/Foxc2",59
"GO:0045229","external encapsulating structure organization","59/1000","293/13664",5.99109459170209e-13,7.01449116151186e-10,5.5625193673525e-10,"Col11a1/Lox/Col1a1/Fkbp10/Col5a2/Sfrp2/Fn1/Adamts14/Col5a1/Col1a2/Tgfbi/Col16a1/Mmp23/Eln/Col3a1/P3h4/Serpinh1/Col18a1/Efemp2/Col5a3/Scara3/Col6a1/Mmp14/Tnfrsf11b/Olfml2b/Adamts16/Aebp1/Ptx3/Postn/Acan/Ccn2/Itga8/Mmp19/Col8a1/P3h1/Col9a2/Slc39a8/Pdpn/Creb3l1/Aplp1/Grem1/Lgals3/Adamts15/Mmp9/Ctss/Mmp16/Adamtsl1/Mmp12/Lamb3/Hmcn1/Dpp4/Adamts4/Adamts19/Ibsp/Olfml2a/Cma1/Col4a3/Ccn1/Foxc2",59
"GO:0043062","extracellular structure organization","59/1000","294/13664",6.98019776003646e-13,7.01449116151186e-10,5.5625193673525e-10,"Col11a1/Lox/Col1a1/Fkbp10/Col5a2/Sfrp2/Fn1/Adamts14/Col5a1/Col1a2/Tgfbi/Col16a1/Mmp23/Eln/Col3a1/P3h4/Serpinh1/Col18a1/Efemp2/Col5a3/Scara3/Col6a1/Mmp14/Tnfrsf11b/Olfml2b/Adamts16/Aebp1/Ptx3/Postn/Acan/Ccn2/Itga8/Mmp19/Col8a1/P3h1/Col9a2/Slc39a8/Pdpn/Creb3l1/Aplp1/Grem1/Lgals3/Adamts15/Mmp9/Ctss/Mmp16/Adamtsl1/Mmp12/Lamb3/Hmcn1/Dpp4/Adamts4/Adamts19/Ibsp/Olfml2a/Cma1/Col4a3/Ccn1/Foxc2",59
"GO:0050900","leukocyte migration","66/1000","352/13664",8.06572383462459e-13,7.01449116151186e-10,5.5625193673525e-10,"Thy1/Ccn3/Plvap/Ptn/Serpine1/Vcam1/Slit2/Chst2/Mmp14/Adam8/Itgb2/Ror2/Trem2/Lgmn/Il33/Scg2/Syk/Ripk3/Cxcl12/Stap1/Slamf9/Cd300a/Myo1f/Tnfaip6/P2rx4/Rin3/Fut7/Enpp1/Fcer1g/Trem1/Retnlg/Grem1/Lgals3/Thbs4/Thbs1/Vav1/Itgb7/Nod2/Itgam/Dnm1l/Nckap1l/Cd200r1/Mmp9/Ccl1/Pla2g7/Padi2/Ptafr/Gpsm3/Cxcl11/Pdgfd/Pawr/Cxcr1/Cxcl9/Spp1/Asb2/Ccl7/Tbx21/Dpp4/Ccl11/Myo1g/Spi1/Cx3cl1/Ccl27/Ccl12/Cxcl6/Tnfrsf14",66
"GO:0014706","striated muscle tissue development","54/1000","267/13664",4.89749007752934e-12,3.6507290320783e-09,2.89504263079216e-09,"Col11a1/Lox/Myh10/Xirp2/Naglu/Ankrd1/Pdlim5/Marcks/G6pd/Ly6e/Sorbs2/Csrp3/Tnnc1/Nppb/Nrap/Actc1/Myl3/Pkp2/Myl2/Grem1/Adra1a/Nkx2-5/Akap6/Popdc2/Pak1/Twist1/Cav3/Myl7/Tnnt2/Xirp1/Tomm70/Gata4/Ncam1/Fhod3/Myh7/Ryr2/Erbb3/Alpk3/Kcnj11/Myo18b/Dsg2/Mybpc3/Asb2/Irx3/Myocd/Cdk1/Tbx1/Adprhl1/Bves/Fgf2/Eya1/Sgcd/Sox6/Foxc2",54
"GO:0060326","cell chemotaxis","56/1000","285/13664",6.63546015309209e-12,4.32797888485431e-09,3.43210445550066e-09,"Lox/Ccn3/Ptn/Serpine1/Vcam1/Slit2/Adam8/Itgb2/Lgmn/Tpbg/Agtr1a/Scg2/Syk/Cxcl12/Stap1/Slamf9/Tnfaip6/P2rx4/Rin3/Fgf1/Fcer1g/Trem1/Retnlg/Cela1/Bin2/Grem1/Lgals3/Thbs4/Thbs1/Vav1/Hgf/Nod2/Itgam/Dnm1l/Nckap1l/Mmp9/Ccl1/Pla2g7/Padi2/Gpsm3/Cxcl11/Pdgfd/Cxcr1/Cxcl9/Sema5a/Spp1/Ccl7/Dpp4/Ccl11/Spi1/Cx3cl1/Gab1/Ccl27/Ccl12/Fgf2/Cxcl6",56
"GO:0048738","cardiac muscle tissue development","51/1000","251/13664",1.61654040962672e-11,9.37234206381361e-09,7.43230450320779e-09,"Col11a1/Myh10/Xirp2/Naglu/Ankrd1/Pdlim5/Marcks/G6pd/Ly6e/Sorbs2/Csrp3/Tnnc1/Nppb/Nrap/Actc1/Myl3/Pkp2/Myl2/Grem1/Adra1a/Nkx2-5/Akap6/Popdc2/Pak1/Cav3/Myl7/Tnnt2/Xirp1/Tomm70/Gata4/Ncam1/Fhod3/Myh7/Ryr2/Erbb3/Alpk3/Kcnj11/Myo18b/Dsg2/Mybpc3/Asb2/Irx3/Myocd/Cdk1/Tbx1/Adprhl1/Bves/Fgf2/Sgcd/Sox6/Foxc2",51
"GO:0060537","muscle tissue development","75/1000","467/13664",6.09058066174996e-11,3.17806498930113e-08,2.52021816645675e-08,"Tnn/Col11a1/Lox/Eln/Col3a1/Efemp2/Ctsb/Myh10/Osr1/Actn1/Xirp2/Naglu/Ankrd1/Pdlim5/Marcks/Gpc1/Itga8/G6pd/Ly6e/Sorbs2/Csrp3/Tnnc1/Nppb/Nrap/Actc1/Myl3/Pkp2/Myl2/Grem1/Adra1a/Nkx2-5/Akap6/Popdc2/Pak1/Twist1/Cav3/Myl7/Tnnt2/Xirp1/Cyp26b1/Tomm70/Klhl41/Csrp1/Gata4/Ncam1/Rcan1/Fhod3/Myh7/Ryr2/Erbb3/Alpk3/Kcnj11/Smyd1/Myo18b/Dsg2/Mybpc3/Asb2/Rxrg/Nr2f2/Tiparp/Irx3/P2rx5/Atf3/Myocd/Cdk1/Tbx1/Six1/Adprhl1/Bves/Fgf2/Eya1/Sgcd/Hoxd9/Sox6/Foxc2",75
