"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031012","extracellular matrix","84/1028","358/13952",3.15364213018011e-22,9.28196170979614e-20,8.03440791757039e-20,"Col12a1/Tnn/Col11a1/Lox/Col1a1/Cthrc1/Podnl1/Ccn3/Col5a2/Sfrp2/Fn1/Ccn5/Adamts14/Col5a1/Ptn/Htra1/Serpine1/Col1a2/Tgfbi/Col16a1/Mmp23/Eln/Thbs2/Col3a1/Col18a1/Efemp2/Col5a3/Scara3/Il1rl1/Hpse/Col6a1/Mmp14/Tnfrsf11b/Col6a2/Tnc/Olfml2b/Adamts16/Svep1/Ptx3/Clu/Postn/Acan/Spon2/Ccn2/Gpc1/Col8a1/Lama3/Lamc2/P3h1/Col9a2/Lum/Vasn/Wnt4/Fgf1/Lgals3/Thbs4/Adamts15/Thbs1/Acta2/Bmper/Efemp1/Cd180/Mmp9/Fcna/Col6a5/Mmp16/Apoe/Mmp12/Lamb3/Mmrn1/Dmbt1/Angptl4/Nav2/Sfrp1/Hmcn1/Runx1/Timp1/Itgb4/Adamts4/Fcnb/Ntn1/Gpld1/Olfml2a/Col4a3",84
"GO:0030312","external encapsulating structure","84/1028","359/13952",3.83552136768435e-22,9.28196170979614e-20,8.03440791757039e-20,"Col12a1/Tnn/Col11a1/Lox/Col1a1/Cthrc1/Podnl1/Ccn3/Col5a2/Sfrp2/Fn1/Ccn5/Adamts14/Col5a1/Ptn/Htra1/Serpine1/Col1a2/Tgfbi/Col16a1/Mmp23/Eln/Thbs2/Col3a1/Col18a1/Efemp2/Col5a3/Scara3/Il1rl1/Hpse/Col6a1/Mmp14/Tnfrsf11b/Col6a2/Tnc/Olfml2b/Adamts16/Svep1/Ptx3/Clu/Postn/Acan/Spon2/Ccn2/Gpc1/Col8a1/Lama3/Lamc2/P3h1/Col9a2/Lum/Vasn/Wnt4/Fgf1/Lgals3/Thbs4/Adamts15/Thbs1/Acta2/Bmper/Efemp1/Cd180/Mmp9/Fcna/Col6a5/Mmp16/Apoe/Mmp12/Lamb3/Mmrn1/Dmbt1/Angptl4/Nav2/Sfrp1/Hmcn1/Runx1/Timp1/Itgb4/Adamts4/Fcnb/Ntn1/Gpld1/Olfml2a/Col4a3",84
"GO:0062023","collagen-containing extracellular matrix","56/1028","232/13952",9.2099858632813e-16,1.48587771927605e-13,1.28616644687227e-13,"Col12a1/Tnn/Col11a1/Lox/Col1a1/Podnl1/Ccn3/Col5a2/Sfrp2/Fn1/Col5a1/Ptn/Htra1/Serpine1/Col1a2/Tgfbi/Col16a1/Eln/Thbs2/Col3a1/Col18a1/Efemp2/Col5a3/Scara3/Col6a1/Col6a2/Tnc/Clu/Postn/Acan/Gpc1/Col8a1/Lama3/Lamc2/P3h1/Col9a2/Lum/Thbs4/Adamts15/Thbs1/Acta2/Efemp1/Fcna/Lamb3/Mmrn1/Dmbt1/Angptl4/Nav2/Sfrp1/Hmcn1/Runx1/Timp1/Itgb4/Fcnb/Ntn1/Col4a3",56
"GO:0005581","collagen trimer","22/1028","49/13952",7.05783198737335e-13,8.53997670472175e-11,7.39215034466998e-11,"Col12a1/Col11a1/Lox/Col1a1/Cthrc1/Col5a2/Col5a1/Col1a2/Col16a1/Col3a1/Col18a1/C1qtnf6/Col5a3/C1qtnf5/Col9a2/Lum/Colec12/Fcna/Fcnb/Rps7/Colec11/Col4a3",22
"GO:0030017","sarcomere","43/1028","201/13952",1.43855943931754e-10,1.39252553725938e-08,1.2053613828387e-08,"Flna/Actn1/Xirp2/Ankrd1/Des/Pdlim5/Ankrd23/Cryab/Csrp3/Tnnc1/Nrap/Actc1/Sphkap/Ank1/Myl3/Casq2/Myl2/Adra1a/Pak1/Cav3/Myl7/Tnnt2/Lmod1/Klhl41/Csrp1/Itgb1bp2/Arhgef25/Fhod3/Myh7/Tmod1/Cavin4/Ryr2/Synpo2/Myo18b/Mybpc3/Ryr3/Asb2/Obscn/Fbxl22/Abra/Scn5a/Myom3/Adprhl1",43
"GO:0043292","contractile fiber","47/1028","235/13952",2.27607484423146e-10,1.83603370768005e-08,1.58925927720021e-08,"Flna/Actn1/Xirp2/Cald1/Ankrd1/Des/Pdlim5/Ankrd23/Cryab/Csrp3/Tnnc1/Nrap/Actc1/Sphkap/Ank1/Myl3/Synm/Casq2/Myl2/Adra1a/Pak1/Cav3/Myl7/Tnnt2/Lmod1/Klhl41/Acta2/Csrp1/Itgb1bp2/Arhgef25/Fhod3/Myh7/Tmod1/Cavin4/Ryr2/Synpo2/Myo18b/Mybpc3/Ryr3/Asb2/Obscn/Fbxl22/Abra/Scn5a/Myom3/Adprhl1/Ido1",47
"GO:0030016","myofibril","45/1028","227/13952",7.43799767845187e-10,5.142844109101e-08,4.45161364815615e-08,"Flna/Actn1/Xirp2/Cald1/Ankrd1/Des/Pdlim5/Ankrd23/Cryab/Csrp3/Tnnc1/Nrap/Actc1/Sphkap/Ank1/Myl3/Synm/Casq2/Myl2/Adra1a/Pak1/Cav3/Myl7/Tnnt2/Lmod1/Klhl41/Csrp1/Itgb1bp2/Arhgef25/Fhod3/Myh7/Tmod1/Cavin4/Ryr2/Synpo2/Myo18b/Mybpc3/Ryr3/Asb2/Obscn/Fbxl22/Abra/Scn5a/Myom3/Adprhl1",45
"GO:0009897","external side of plasma membrane","61/1028","379/13952",4.77474216679547e-09,2.88871901091126e-07,2.500457082085e-07,"Thy1/Anpep/Enpp3/Itga11/Vcam1/Sdc1/Clec2dl1/Il1rl1/Tfrc/Cd44/Ctsb/Itgb2/Slc7a5/Dlk1/Clec7a/Tcn2/Cd8a/Cd33/Abca1/Ctsk/Itga8/Fcgr2b/Cd8b/Cxcl12/Pdpn/Slamf9/Folr2/Fcer1g/Clec4a3/Lgals3/Asgr2/Atp6ap2/Thbs1/Ncam1/Kcnj3/Itgam/Cd200r1/Clec2d/Abcg1/Apoe/Klrd1/Cd83/Cxcr1/Cxcl9/Csf2rb/Il3ra/P2rx1/Clec4a1/Cd14/Fcgr3a/Crlf2/Scube1/Clec4a/Slamf6/Fcgr1a/Flt3/LOC689757/Cd5/Clec2d2/Gfra4/Tnfrsf14",61
"GO:0005583","fibrillar collagen trimer","8/1028","11/13952",1.14242683636504e-07,5.52934588800678e-06,4.78616716708721e-06,"Col11a1/Col1a1/Col5a2/Col5a1/Col1a2/Col3a1/Col5a3/Lum",8
"GO:0098643","banded collagen fibril","8/1028","11/13952",1.14242683636504e-07,5.52934588800678e-06,4.78616716708721e-06,"Col11a1/Col1a1/Col5a2/Col5a1/Col1a2/Col3a1/Col5a3/Lum",8
