ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0005539,glycosaminoglycan binding,46/941,192/12520,9.03E-13,7.83E-10,6.88E-10,Col11a1/Cemip/Ccn3/Fn1/Ccn5/Slit3/Col5a1/Ptn/Thbs2/Pcolce/Efemp2/Slit2/Col5a3/Cd44/Trem2/Postn/Acan/Ccn2/Gpnmb/Lamc2/Reg3b/Tnfaip6/Aplp1/Fgf1/Grem2/Thbs4/Adamts15/Thbs1/Ncam1/Nod2/Itgam/Lipg/Apoe/Cxcl11/Fgfrl1/Pla2g5/Sema5a/Dmbt1/Fgf12/Nav2/Sfrp1/Ccl7/Lxn/Tpsb2/Fgf2/Ccn1,46
GO:0008201,heparin binding,37/941,141/12520,8.80E-12,3.81E-09,3.35E-09,Col11a1/Ccn3/Fn1/Ccn5/Slit3/Col5a1/Ptn/Thbs2/Pcolce/Efemp2/Slit2/Col5a3/Postn/Ccn2/Gpnmb/Lamc2/Aplp1/Fgf1/Grem2/Thbs4/Adamts15/Thbs1/Ncam1/Itgam/Lipg/Apoe/Cxcl11/Fgfrl1/Pla2g5/Fgf12/Nav2/Sfrp1/Ccl7/Lxn/Tpsb2/Fgf2/Ccn1,37
GO:0050839,cell adhesion molecule binding,50/941,265/12520,9.71E-10,2.00E-07,1.76E-07,Tnn/Thy1/Ccn3/Sfrp2/Fn1/Ccn5/Ptn/Itga11/Tgfbi/Col16a1/Vcam1/Pkp1/Col3a1/Emb/Mmp14/Adam8/Itgb2/Actn1/Kirrel1/Postn/Ccn2/Itga8/Syk/Gpnmb/Cxcl12/P2rx4/Fgf1/Thbs4/Fermt3/Thbs1/Nrcam/Itgb1bp2/Itgb7/Nlgn2/Cd200r1/Cdh3/Ndrg1/Cdh22/Dsg2/Spp1/Obscn/Itgb4/Cdh20/Cx3cl1/Tbc1d2/Frmd5/Ibsp/Fgf2/Col4a3/Ccn1,50
GO:0030545,signaling receptor regulator activity,62/941,368/12520,1.14E-09,2.00E-07,1.76E-07,Ccn3/Sfrp2/Ptn/Slit2/Tnfrsf11b/Clec11a/Fst/Il33/Grn/Scg2/Ccn2/Gpnmb/Ly6e/Il10/Cxcl12/Zfp106/Reg3b/Nppb/Tnfsf9/Wnt4/Fgf1/Grem2/Retnlg/Metrnl/Grem1/Lgals3/Cdnf/Thbs4/Il18/Il19/Efemp1/Hgf/Ttr/Hspa1a/Inha/Ccl1/Lilrb4/Cxcl11/Pdgfd/Cxcl9/Sema5a/Fgf12/Spp1/Ccl7/Timp1/Dpp4/Crlf2/Ccl11/Retn/Igsf1/Wnt16/Cx3cl1/Lynx1/Il1rn/Ntn1/Ccl27/Ccl12/Enho/Clcf1/Tnfsf4/Fgf2/Cxcl6,62
GO:1901681,sulfur compound binding,46/941,234/12520,1.16E-09,2.00E-07,1.76E-07,Col11a1/Ccn3/Fn1/Ccn5/Slit3/Col5a1/Ptn/Thbs2/Pcolce/Efemp2/Slit2/Col5a3/Fst/Postn/Soat1/Ccn2/Gpnmb/Lamc2/Aplp1/Fgf1/Grem2/Thbs4/Adamts15/Thbs1/Ncam1/Itgam/Acp5/Ryr2/Lipg/Apoe/Cxcl11/Fgfrl1/Pla2g5/Sema5a/Dmbt1/Fgf12/P2rx1/Nav2/Sfrp1/Ccl7/Lxn/Tpsb2/Soat2/Chst15/Fgf2/Ccn1,46
GO:0043394,proteoglycan binding,16/941,36/12520,1.59E-09,2.00E-07,1.76E-07,Fn1/Col5a1/Ptn/Slit2/Col5a3/Hpse/Tnc/Ctsb/Fst/Ctsk/Gpnmb/Itgam/Ctss/Apoe/Sema5a/Mfn2,16
GO:0005178,integrin binding,33/941,138/12520,1.62E-09,2.00E-07,1.76E-07,Tnn/Thy1/Ccn3/Sfrp2/Fn1/Ccn5/Ptn/Itga11/Col16a1/Vcam1/Col3a1/Mmp14/Itgb2/Actn1/Ccn2/Itga8/Syk/Gpnmb/Cxcl12/Fgf1/Thbs4/Fermt3/Thbs1/Itgb1bp2/Itgb7/Spp1/Itgb4/Cx3cl1/Frmd5/Ibsp/Fgf2/Col4a3/Ccn1,33
GO:0048018,receptor ligand activity,57/941,334/12520,3.34E-09,3.62E-07,3.18E-07,Ccn3/Sfrp2/Ptn/Slit2/Tnfrsf11b/Clec11a/Il33/Grn/Scg2/Ccn2/Gpnmb/Il10/Cxcl12/Zfp106/Reg3b/Nppb/Tnfsf9/Wnt4/Fgf1/Grem2/Retnlg/Metrnl/Grem1/Lgals3/Cdnf/Thbs4/Il18/Il19/Efemp1/Hgf/Ttr/Hspa1a/Inha/Ccl1/Cxcl11/Pdgfd/Cxcl9/Sema5a/Fgf12/Spp1/Ccl7/Timp1/Dpp4/Crlf2/Ccl11/Retn/Wnt16/Cx3cl1/Il1rn/Ntn1/Ccl27/Ccl12/Enho/Clcf1/Tnfsf4/Fgf2/Cxcl6,57
GO:0030546,signaling receptor activator activity,57/941,341/12520,7.28E-09,7.02E-07,6.17E-07,Ccn3/Sfrp2/Ptn/Slit2/Tnfrsf11b/Clec11a/Il33/Grn/Scg2/Ccn2/Gpnmb/Il10/Cxcl12/Zfp106/Reg3b/Nppb/Tnfsf9/Wnt4/Fgf1/Grem2/Retnlg/Metrnl/Grem1/Lgals3/Cdnf/Thbs4/Il18/Il19/Efemp1/Hgf/Ttr/Hspa1a/Inha/Ccl1/Cxcl11/Pdgfd/Cxcl9/Sema5a/Fgf12/Spp1/Ccl7/Timp1/Dpp4/Crlf2/Ccl11/Retn/Wnt16/Cx3cl1/Il1rn/Ntn1/Ccl27/Ccl12/Enho/Clcf1/Tnfsf4/Fgf2/Cxcl6,57
GO:0030020,extracellular matrix structural constituent conferring tensile strength,14/941,31/12520,1.32E-08,1.14E-06,1.01E-06,Col11a1/Col1a1/Col5a2/Col5a1/Col1a2/Col16a1/Col3a1/Col18a1/Col5a3/Scara3/Col6a1/Col8a1/Col9a2/Col4a3,14
GO:0005125,cytokine activity,32/941,146/12520,2.75E-08,2.14E-06,1.88E-06,Tnfrsf11b/Il33/Grn/Scg2/Il10/Cxcl12/Tnfsf9/Wnt4/Grem2/Retnlg/Grem1/Il18/Il19/Inha/Ccl1/Cxcl11/Cxcl9/Spp1/Ccl7/Timp1/Crlf2/Ccl11/Wnt16/Cx3cl1/Il1rn/Ntn1/Ccl27/Ccl12/Clcf1/Tnfsf4/Fgf2/Cxcl6,32
GO:0005518,collagen binding,20/941,65/12520,2.97E-08,2.14E-06,1.88E-06,Lox/Itga11/Tgfbi/P3h4/Pcolce/Serpinh1/Col6a1/Col6a2/Ctsb/Aebp1/Ctsk/Gpc1/Lum/Pak1/Thbs4/Thbs1/Ctss/Mmp12/Dpp4/Tll1,20
GO:0005201,extracellular matrix structural constituent,18/941,56/12520,6.85E-08,4.57E-06,4.02E-06,Col12a1/Col11a1/Col1a1/Col5a2/Fn1/Col5a1/Col1a2/Col16a1/Eln/Col3a1/Col18a1/Col5a3/Scara3/Col6a1/Col8a1/Col9a2/Mmrn1/Col4a3,18
GO:0030246,carbohydrate binding,39/941,223/12520,5.43E-07,3.36E-05,2.95E-05,P4ha3/Ptn/Clec2dl1/Gusb/Plod2/Clec11a/Ptx3/Clec7a/P4ha2/Pam/Acan/Egln3/G6pd/P3h1/Galnt10/Reg3b/Enpp1/Hexb/Clec4a3/P4htm/Lgals3/Asgr2/Colec12/Galnt6/Galnt5/Fcna/Clec2d/Hk3/Klrd1/Ppp1r3a/Mrc1/Galnt12/Galk1/Clec4a1/Clec4a/Fcnb/Colec11/LOC689757/Clec2d2,39
