"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000058470","25683","Col12a1"
"ENSRNOG00000002548","304913","Tnn"
"ENSRNOG00000023148","25654","Col11a1"
"ENSRNOG00000012442","308797","Cemip"
"ENSRNOG00000014426","24914","Lox"
"ENSRNOG00000003897","29393","Col1a1"
"ENSRNOG00000006604","24832","Thy1"
"ENSRNOG00000030210","308099","Fndc1"
"ENSRNOG00000004578","282836","Cthrc1"
"ENSRNOG00000007907","362691","Tmem178a"
"ENSRNOG00000009465","310552","Sfrp2"
"ENSRNOG00000008697","81526","Ccn3"
"ENSRNOG00000014288","25661","Fn1"
"ENSRNOG00000008947","83575","Cpz"
"ENSRNOG00000014610","81641","Anpep"
"ENSRNOG00000017118","361612","P4ha3"
"ENSRNOG00000025184","315866","Prss35"
"ENSRNOG00000017676","56765","Plvap"
"ENSRNOG00000037853","310486","Rarres1"
"ENSRNOG00000000563","309837","Adamts14"
"ENSRNOG00000007377","83467","Slit3"
"ENSRNOG00000013791","54410","Enpp3"
"ENSRNOG00000011946","24924","Ptn"
"ENSRNOG00000006723","315744","Itga11"
"ENSRNOG00000001414","24617","Serpine1"
"ENSRNOG00000011292","84352","Col1a2"
"ENSRNOG00000031475","366474","Col16a1"
"ENSRNOG00000005700","25247","Nsg1"
"ENSRNOG00000006735","25164","Cdkn2b"
"ENSRNOG00000010076","304822","Pkp1"
"ENSRNOG00000016257","361422","Cotl1"
"ENSRNOG00000021412","303378","Slfn13"
"ENSRNOG00000001469","25043","Eln"
"ENSRNOG00000039976","301242","Ptk7"
"ENSRNOG00000024243","365216","Cadm4"
"ENSRNOG00000015514","29592","Bcat1"
"ENSRNOG00000010635","360622","Igfbp4"
"ENSRNOG00000059947","25216","Sdc1"
"ENSRNOG00000020587","293677","Efemp2"
"ENSRNOG00000003715","317181","Srpx2"
"ENSRNOG00000007866","689790","Clec2dl1"
"ENSRNOG00000003840","360272","Slit2"
"ENSRNOG00000020525","60379","Col5a3"
"ENSRNOG00000016177","364405","Scara3"
"ENSRNOG00000054957","89803","Sfrp4"
"ENSRNOG00000014835","25556","Il1rl1"
"ENSRNOG00000000913","24434","Gusb"
"ENSRNOG00000053766","56820","Ramp3"
"ENSRNOG00000007364","299156","Rab15"
"ENSRNOG00000008586","299699","Aldh1l2"
"ENSRNOG00000002188","64537","Hpse"
"ENSRNOG00000047699","25554","Snai2"
"ENSRNOG00000060329","114511","Emb"
"ENSRNOG00000054008","65171","Scamp5"
"ENSRNOG00000026953","64443","Gpr88"
"ENSRNOG00000005971","117257","Gpr176"
"ENSRNOG00000008336","25341","Tnfrsf11b"
"ENSRNOG00000010947","81707","Mmp14"
"ENSRNOG00000058645","116640","Tnc"
"ENSRNOG00000010331","64529","Ctsb"
"ENSRNOG00000017897","499285","Adam8"
"ENSRNOG00000001224","309684","Itgb2"
"ENSRNOG00000061895","502907","LOC502907"
"ENSRNOG00000061895","120093104","LOC120093104"
"ENSRNOG00000053232","306782","Ror2"
"ENSRNOG00000000994","81804","Stxbp2"
"ENSRNOG00000033110","685899","Svep1"
"ENSRNOG00000017414","293624","Irf7"
"ENSRNOG00000027736","65204","Cnn1"
"ENSRNOG00000001959","24575","Mx1"
"ENSRNOG00000013578","301227","Trem2"
"ENSRNOG00000012280","689388","Ptx3"
"ENSRNOG00000028872","294804","Rai14"
"ENSRNOG00000005348","311252","Pamr1"
"ENSRNOG00000021424","287818","Cd300lf"
"ENSRNOG00000014237","305687","Zfp503"
"ENSRNOG00000054251","502902","Clec7a"
"ENSRNOG00000014956","316519","Slc11a1"
"ENSRNOG00000021243","311426","Siglec1"
"ENSRNOG00000011631","24373","Fst"
"ENSRNOG00000003959","289076","Rgs18"
"ENSRNOG00000003104","29465","Trpv2"
"ENSRNOG00000033844","501625","Bex2"
"ENSRNOG00000008113","500552","RGD1561149"
"ENSRNOG00000039390","500973","Slc37a2"
"ENSRNOG00000019440","65206","Kcnn4"
"ENSRNOG00000004314","314897","Ppm1h"
"ENSRNOG00000000981","25073","Scarb1"
"ENSRNOG00000009204","362417","Il17re"
"ENSRNOG00000005277","64576","Ptprv"
"ENSRNOG00000019147","296655","Stom"
"ENSRNOG00000007178","24930","Cd8a"
"ENSRNOG00000002903","303208","Specc1"
"ENSRNOG00000037331","690492","Cd33"
"ENSRNOG00000046683","308350","Lilrb3"
"ENSRNOG00000050697","252929","Ctsz"
"ENSRNOG00000054954","65146","Lilrb2"
"ENSRNOG00000018126","313210","Abca1"
"ENSRNOG00000007546","25612","Asns"
"ENSRNOG00000018346","24180","Agtr1a"
"ENSRNOG00000004111","81782","Soat1"
"ENSRNOG00000028992","58968","Acan"
"ENSRNOG00000048771","501742","RGD1562667"
"ENSRNOG00000013304","29221","Arg1"
"ENSRNOG00000006033","171569","Spon2"
"ENSRNOG00000017874","24251","Cd53"
"ENSRNOG00000020193","367218","Runx2"
"ENSRNOG00000010516","25619","Plau"
"ENSRNOG00000058909","103689992","Rps9"
"ENSRNOG00000016538","364786","Itga8"
"ENSRNOG00000046452","289211","Fcgr2b"
"ENSRNOG00000008816","113955","Gpnmb"
"ENSRNOG00000009331","25734","Hck"
"ENSRNOG00000012508","295455","Slc39a8"
"ENSRNOG00000015421","295219","Slc27a3"
"ENSRNOG00000020431","60450","Matk"
"ENSRNOG00000046663","498276","LOC498276"
"ENSRNOG00000046663","103693683","Fcgr2a-ps1"
"ENSRNOG00000036682","287877","Pycr1"
"ENSRNOG00000008045","289235","Slamf9"
"ENSRNOG00000001187","304545","Oasl"
"ENSRNOG00000057058","501736","Cd300a"
"ENSRNOG00000006151","24618","Reg3b"
"ENSRNOG00000002217","360914","Plac8"
"ENSRNOG00000047606","170929","Bcl2a1"
"ENSRNOG00000020851","502317","Aplp1"
"ENSRNOG00000013166","84426","Wnt4"
"ENSRNOG00000012164","300443","Plppr2"
"ENSRNOG00000030537","360670","Slc26a11"
"ENSRNOG00000047714","245953","Tmem37"
"ENSRNOG00000026053","50566","Grem1"
"ENSRNOG00000037563","287435","Cd68"
"ENSRNOG00000010645","83781","Lgals3"
"ENSRNOG00000014816","25550","Slc1a1"
"ENSRNOG00000020991","361735","Ms4a6a"
"ENSRNOG00000016581","291091","Serpinb1a"
"ENSRNOG00000050946","311535","Fam110a"
