"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000058470","25683","Col12a1"
"ENSRNOG00000002548","304913","Tnn"
"ENSRNOG00000023148","25654","Col11a1"
"ENSRNOG00000012442","308797","Cemip"
"ENSRNOG00000014426","24914","Lox"
"ENSRNOG00000003897","29393","Col1a1"
"ENSRNOG00000006604","24832","Thy1"
"ENSRNOG00000015941","360627","Fkbp10"
"ENSRNOG00000030210","308099","Fndc1"
"ENSRNOG00000004578","282836","Cthrc1"
"ENSRNOG00000007907","362691","Tmem178a"
"ENSRNOG00000006741","288907","Podnl1"
"ENSRNOG00000008697","81526","Ccn3"
"ENSRNOG00000003736","85250","Col5a2"
"ENSRNOG00000009465","310552","Sfrp2"
"ENSRNOG00000014288","25661","Fn1"
"ENSRNOG00000008947","83575","Cpz"
"ENSRNOG00000017118","361612","P4ha3"
"ENSRNOG00000025184","315866","Prss35"
"ENSRNOG00000014610","81641","Anpep"
"ENSRNOG00000017676","56765","Plvap"
"ENSRNOG00000037853","310486","Rarres1"
"ENSRNOG00000010666","29576","Ccn5"
"ENSRNOG00000000563","309837","Adamts14"
"ENSRNOG00000007377","83467","Slit3"
"ENSRNOG00000008749","85490","Col5a1"
"ENSRNOG00000013791","54410","Enpp3"
"ENSRNOG00000011946","24924","Ptn"
"ENSRNOG00000020533","65164","Htra1"
"ENSRNOG00000006723","315744","Itga11"
"ENSRNOG00000001414","24617","Serpine1"
"ENSRNOG00000011292","84352","Col1a2"
"ENSRNOG00000012216","116487","Tgfbi"
"ENSRNOG00000031475","366474","Col16a1"
"ENSRNOG00000005700","25247","Nsg1"
"ENSRNOG00000006735","25164","Cdkn2b"
"ENSRNOG00000014333","25361","Vcam1"
"ENSRNOG00000010076","304822","Pkp1"
"ENSRNOG00000017477","94339","Mmp23"
"ENSRNOG00000016257","361422","Cotl1"
"ENSRNOG00000021412","303378","Slfn13"
"ENSRNOG00000001469","25043","Eln"
"ENSRNOG00000010529","292406","Thbs2"
"ENSRNOG00000003357","84032","Col3a1"
"ENSRNOG00000024801","100158233","Slc35a2"
"ENSRNOG00000039976","301242","Ptk7"
"ENSRNOG00000024243","365216","Cadm4"
"ENSRNOG00000015514","29592","Bcat1"
"ENSRNOG00000015787","59101","P3h4"
"ENSRNOG00000025001","29569","Pcolce"
"ENSRNOG00000010635","360622","Igfbp4"
"ENSRNOG00000016831","29345","Serpinh1"
"ENSRNOG00000059947","25216","Sdc1"
"ENSRNOG00000017625","29581","Htr2b"
"ENSRNOG00000001229","85251","Col18a1"
"ENSRNOG00000007300","315114","C1qtnf6"
"ENSRNOG00000020587","293677","Efemp2"
"ENSRNOG00000003715","317181","Srpx2"
"ENSRNOG00000007866","689790","Clec2dl1"
"ENSRNOG00000003840","360272","Slit2"
"ENSRNOG00000020525","60379","Col5a3"
"ENSRNOG00000016177","364405","Scara3"
"ENSRNOG00000000700","304581","Tmem119"
"ENSRNOG00000028703","291733","Slc39a6"
"ENSRNOG00000054957","89803","Sfrp4"
"ENSRNOG00000014835","25556","Il1rl1"
"ENSRNOG00000000913","24434","Gusb"
"ENSRNOG00000053766","56820","Ramp3"
"ENSRNOG00000051688","306285","Syt15"
"ENSRNOG00000007364","299156","Rab15"
"ENSRNOG00000008586","299699","Aldh1l2"
"ENSRNOG00000002188","64537","Hpse"
"ENSRNOG00000047699","25554","Snai2"
"ENSRNOG00000060329","114511","Emb"
"ENSRNOG00000054008","65171","Scamp5"
"ENSRNOG00000001766","64678","Tfrc"
"ENSRNOG00000047734","367145","Chst2"
"ENSRNOG00000001249","294337","Col6a1"
"ENSRNOG00000006094","25406","Cd44"
"ENSRNOG00000008423","298944","Gpr22"
"ENSRNOG00000018087","81818","Vim"
"ENSRNOG00000006019","289388","G0s2"
"ENSRNOG00000026953","64443","Gpr88"
"ENSRNOG00000005971","117257","Gpr176"
"ENSRNOG00000016769","252916","Rab38"
"ENSRNOG00000010947","81707","Mmp14"
"ENSRNOG00000008336","25341","Tnfrsf11b"
"ENSRNOG00000030183","300901","Plod2"
"ENSRNOG00000009722","303241","Chd3"
"ENSRNOG00000001254","361821","Col6a2"
"ENSRNOG00000058645","116640","Tnc"
"ENSRNOG00000019138","29313","Clec11a"
"ENSRNOG00000010331","64529","Ctsb"
"ENSRNOG00000003018","304960","Olfml2b"
"ENSRNOG00000001963","286918","Mx2"
"ENSRNOG00000017897","499285","Adam8"
"ENSRNOG00000001224","309684","Itgb2"
"ENSRNOG00000054890","293860","Flna"
"ENSRNOG00000016812","306664","Adamts16"
"ENSRNOG00000013720","305494","Aebp1"
"ENSRNOG00000011820","56780","Acp3"
"ENSRNOG00000043007","494125","Rcn3"
"ENSRNOG00000002886","79433","Myh10"
"ENSRNOG00000061895","502907","LOC502907"
"ENSRNOG00000061895","120093104","LOC120093104"
"ENSRNOG00000053232","306782","Ror2"
"ENSRNOG00000000994","81804","Stxbp2"
"ENSRNOG00000033110","685899","Svep1"
"ENSRNOG00000004210","298878","Osr1"
"ENSRNOG00000026604","296616","Cercam"
"ENSRNOG00000028814","304549","Oasl2"
"ENSRNOG00000017414","293624","Irf7"
"ENSRNOG00000027736","65204","Cnn1"
"ENSRNOG00000001959","24575","Mx1"
"ENSRNOG00000056756","81634","Actn1"
"ENSRNOG00000034258","311098","Xirp2"
"ENSRNOG00000019387","290644","Ifi30"
"ENSRNOG00000013578","301227","Trem2"
"ENSRNOG00000016670","116723","Pip4k2a"
"ENSRNOG00000012640","83799","Dpp7"
"ENSRNOG00000020456","59295","Nucb2"
"ENSRNOG00000017416","291463","Ppic"
"ENSRNOG00000012280","689388","Ptx3"
"ENSRNOG00000018824","50719","Slc7a5"
"ENSRNOG00000019584","114587","Dlk1"
"ENSRNOG00000028872","294804","Rai14"
"ENSRNOG00000021424","287818","Cd300lf"
"ENSRNOG00000005348","311252","Pamr1"
"ENSRNOG00000014237","305687","Zfp503"
"ENSRNOG00000054251","502902","Clec7a"
"ENSRNOG00000049683","81922","Sh3gl1"
"ENSRNOG00000004280","64365","Tcn2"
"ENSRNOG00000010233","25687","Cald1"
"ENSRNOG00000024751","361844","Macroh2a2"
"ENSRNOG00000020684","287721","Vat1"
"ENSRNOG00000014956","316519","Slc11a1"
"ENSRNOG00000021243","311426","Siglec1"
"ENSRNOG00000011631","24373","Fst"
"ENSRNOG00000015072","192227","Ptgr1"
"ENSRNOG00000007613","315598","C1qtnf5"
"ENSRNOG00000021866","297388","Bola3"
"ENSRNOG00000032381","360630","Naglu"
"ENSRNOG00000014837","316736","Emilin2"
"ENSRNOG00000016460","24854","Clu"
"ENSRNOG00000003959","289076","Rgs18"
"ENSRNOG00000016408","310695","Kirrel1"
"ENSRNOG00000003104","29465","Trpv2"
"ENSRNOG00000033844","501625","Bex2"
"ENSRNOG00000033663","360526","P4ha2"
"ENSRNOG00000051952","500040","Tes"
"ENSRNOG00000061450","29547","Homer2"
"ENSRNOG00000033280","25508","Pam"
"ENSRNOG00000008113","500552","RGD1561149"
"ENSRNOG00000052940","501740","RGD1562156"
"ENSRNOG00000039390","500973","Slc37a2"
"ENSRNOG00000026124","25585","Id3"
"ENSRNOG00000019440","65206","Kcnn4"
"ENSRNOG00000000981","25073","Scarb1"
"ENSRNOG00000003217","245955","Lgals3bp"
"ENSRNOG00000004314","314897","Ppm1h"
"ENSRNOG00000009204","362417","Il17re"
"ENSRNOG00000005277","64576","Ptprv"
"ENSRNOG00000017220","293650","Tcirg1"
"ENSRNOG00000009515","363109","Pgm3"
"ENSRNOG00000029079","50565","Hspb7"
"ENSRNOG00000012095","114906","Pkia"
"ENSRNOG00000019147","296655","Stom"
"ENSRNOG00000010992","78951","Hspb3"
"ENSRNOG00000007178","24930","Cd8a"
"ENSRNOG00000007089","63865","Lgmn"
"ENSRNOG00000016488","296371","Pltp"
"ENSRNOG00000016117","309499","Myof"
"ENSRNOG00000002721","288088","Ndufb4"
"ENSRNOG00000002903","303208","Specc1"
"ENSRNOG00000055583","304315","Ttyh3"
"ENSRNOG00000010694","83684","Tpbg"
"ENSRNOG00000016456","361749","Il33"
"ENSRNOG00000061147","309415","Entrep1"
"ENSRNOG00000037331","690492","Cd33"
"ENSRNOG00000012660","361945","Postn"
"ENSRNOG00000046683","308350","Lilrb3"
"ENSRNOG00000018598","27064","Ankrd1"
"ENSRNOG00000051235","24231","C2"
"ENSRNOG00000051235","294257","Cfb"
"ENSRNOG00000021031","29143","Grn"
"ENSRNOG00000050697","252929","Ctsz"
"ENSRNOG00000033220","246268","Oas1b"
"ENSRNOG00000007923","245918","Cgref1"
"ENSRNOG00000009734","296972","Akr1b10"
"ENSRNOG00000019810","64362","Des"
"ENSRNOG00000010105","445415","S100a11"
"ENSRNOG00000049782","652957","Csf2ra"
"ENSRNOG00000054954","65146","Lilrb2"
"ENSRNOG00000020029","685545","Mcrip2"
"ENSRNOG00000018126","313210","Abca1"
"ENSRNOG00000018346","24180","Agtr1a"
"ENSRNOG00000007546","25612","Asns"
"ENSRNOG00000004111","81782","Soat1"
"ENSRNOG00000020845","361537","Tyrobp"
"ENSRNOG00000003256","25405","Ccng1"
"ENSRNOG00000016419","64353","Pdlim5"
"ENSRNOG00000004245","289197","Mgst3"
"ENSRNOG00000036695","303746","Mrpl12"
"ENSRNOG00000001369","192281","Oas1a"
"ENSRNOG00000013744","361624","Akip1"
"ENSRNOG00000021155","29175","Ctsk"
"ENSRNOG00000028992","58968","Acan"
"ENSRNOG00000048771","501742","RGD1562667"
"ENSRNOG00000015055","24765","Scg2"
"ENSRNOG00000016945","29692","Pla2g2a"
"ENSRNOG00000000579","25603","Marcks"
"ENSRNOG00000013304","29221","Arg1"
"ENSRNOG00000019996","25027","Slc16a1"
"ENSRNOG00000020829","361992","Them4"
"ENSRNOG00000006033","171569","Spon2"
"ENSRNOG00000006800","362518","Pgap4"
"ENSRNOG00000047867","306589","Klhdc8b"
"ENSRNOG00000000142","361282","Plxdc2"
"ENSRNOG00000015036","64032","Ccn2"
"ENSRNOG00000005053","54702","Egln3"
"ENSRNOG00000049437","58920","Gpc1"
"ENSRNOG00000005276","116549","Csnk2a1"
"ENSRNOG00000006460","302972","Amdhd2"
"ENSRNOG00000017874","24251","Cd53"
"ENSRNOG00000010516","25619","Plau"
"ENSRNOG00000020193","367218","Runx2"
"ENSRNOG00000058909","103689992","Rps9"
"ENSRNOG00000050968","81752","Ptger2"
"ENSRNOG00000016538","364786","Itga8"
"ENSRNOG00000006778","304608","Mmp19"
"ENSRNOG00000005861","25116","Hsd11b1"
"ENSRNOG00000038784","307380","Piezo2"
"ENSRNOG00000058329","113931","Prrx2"
"ENSRNOG00000039668","304021","Col8a1"
"ENSRNOG00000047367","688292","Card14"
"ENSRNOG00000046452","289211","Fcgr2b"
"ENSRNOG00000056728","24377","G6pd"
"ENSRNOG00000012160","25155","Syk"
"ENSRNOG00000011300","307582","Lama3"
"ENSRNOG00000006345","298068","Sec61b"
"ENSRNOG00000008816","113955","Gpnmb"
"ENSRNOG00000007091","362934","Ly6e"
"ENSRNOG00000007129","24931","Cd8b"
"ENSRNOG00000047218","94272","Clic5"
"ENSRNOG00000023162","791259","Car14"
"ENSRNOG00000016151","316330","Ankrd23"
"ENSRNOG00000002667","192362","Lamc2"
"ENSRNOG00000010524","25420","Cryab"
"ENSRNOG00000013391","114901","Sorbs2"
"ENSRNOG00000008283","362275","B4galt5"
"ENSRNOG00000018740","24861","Ugt1a1"
"ENSRNOG00000018740","113992","Ugt1a6"
"ENSRNOG00000018740","154516","Ugt1a7c"
"ENSRNOG00000018740","301595","Ugt1a8"
"ENSRNOG00000018740","396527","Ugt1a2"
"ENSRNOG00000018740","396551","Ugt1a3"
