category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
NA,NA,rno04820,Cytoskeleton in muscle cells,55/587,222/7057,4.45E-14,1.45E-11,1.31E-11,25654/29393/85250/25661/85490/315744/84352/25043/292406/84032/25216/60379/294337/81818/361821/79433/311098/27064/64362/64353/364786/316330/362584/117505/290561/307982/29275/24585/287925/362790/500450/363925/29220/289759/24837/304816/100910104/445442/29276/25713/29557/501047/25566/116685/499702/307562/295929/338458/25724/292879/25365/313625/290396/363265/497892,55
Organismal Systems,Digestive system,rno04974,Protein digestion and absorption,25/587,86/7057,1.46E-08,2.37E-06,2.14E-06,25683/25654/29393/85250/85490/84352/366474/25043/84032/85251/60379/294337/361821/65206/304021/362584/25550/83509/24590/501047/84020/25253/24784/84551/363265,25
Environmental Information Processing,Signaling molecules and interaction,rno04512,ECM-receptor interaction,24/587,84/7057,4.12E-08,4.47E-06,4.04E-06,304913/29393/25661/315744/84352/292406/25216/294337/25406/361821/116640/364786/307582/192362/362584/29220/445442/25713/501047/305078/25353/25724/24477/363265,24
NA,NA,rno04518,Integrin signaling,31/587,144/7057,5.72E-07,4.64E-05,4.20E-05,304913/29393/25661/315744/84352/25361/292406/294337/361821/116640/309684/293860/81634/364786/307582/192362/362584/29220/309186/445442/25713/24446/25021/501047/66018/305078/499443/25353/25724/24477/363265,31
Human Diseases,Cardiovascular disease,rno05414,Dilated cardiomyopathy,22/587,94/7057,6.10E-06,0.000396761,0.000358531,315744/64362/364786/290561/64508/29275/24585/500450/363925/29161/24837/25713/29557/689560/116600/64532/25297/295929/25724/25399/293508/497892,22
Human Diseases,Cardiovascular disease,rno05410,Hypertrophic cardiomyopathy,21/587,91/7057,1.25E-05,0.000678136,0.000612793,315744/64362/364786/290561/29275/24585/500450/363925/29161/24837/25713/29557/689560/116600/25297/295929/25724/25399/301518/78975/497892,21
Metabolism,Carbohydrate metabolism,rno00040,Pentose and glucuronate interconversions,10/587,25/7057,1.52E-05,0.00070609,0.000638054,24434/296972/24861/113992/154516/301595/396527/396551/396552/574523,10
Metabolism,Carbohydrate metabolism,rno00053,Ascorbate and aldarate metabolism,9/587,22/7057,3.32E-05,0.001274818,0.001151981,24434/24861/113992/154516/301595/396527/396551/396552/574523,9
Metabolism,Metabolism of cofactors and vitamins,rno00860,Porphyrin metabolism,12/587,38/7057,3.53E-05,0.001274818,0.001151981,24434/24861/113992/154516/301595/396527/396551/396552/574523/65155/24451/499244,12
Cellular Processes,Cellular community - eukaryotes,rno04510,Focal adhesion,32/587,193/7057,0.000110733,0.003273508,0.002958085,304913/29393/25661/315744/84352/292406/294337/361821/116640/293860/81634/364786/307582/192362/362584/363925/29431/29220/29161/289759/445442/25156/25713/24446/309419/501047/66018/305078/25353/25724/24477/363265,32
Cellular Processes,Transport and catabolism,rno04145,Phagocytosis,37/587,236/7057,0.000110796,0.003273508,0.002958085,81641/292406/64529/309684/502902/25073/293650/29175/289211/25155/298068/498276/171293/307351/79129/29220/66021/445442/316531/361289/498638/25211/25021/81687/50654/83517/83462/368044/685232/291327/501854/60350/304966/364018/114091/295279/366588,37
Metabolism,Lipid metabolism,rno00140,Steroid hormone biosynthesis,12/587,44/7057,0.000172922,0.004683295,0.00423203,25116/24861/113992/154516/301595/396527/396551/396552/574523/360583/24294/171516,12
Metabolism,Xenobiotics biodegradation and metabolism,rno00982,Drug metabolism - cytochrome P450,13/587,52/7057,0.000243295,0.006082369,0.005496295,289197/24861/113992/154516/301595/396527/396551/396552/574523/29253/295037/309147/25375,13
Metabolism,Glycan biosynthesis and metabolism,rno00531,Glycosaminoglycan degradation,6/587,13/7057,0.000333258,0.007736356,0.006990909,24434/64537/360630/316033/294673/292073,6
Metabolism,Xenobiotics biodegradation and metabolism,rno00980,Metabolism of xenobiotics by cytochrome P450,13/587,54/7057,0.000363658,0.007879249,0.007120033,289197/25116/24861/113992/154516/301595/396527/396551/396552/574523/295037/309147/25375,13
Cellular Processes,Cell motility,rno04814,Motor proteins,28/587,174/7057,0.000486697,0.009886032,0.008933451,79433/117550/290561/314654/29275/24585/500450/307351/363925/289759/24837/81633/316531/29557/83462/289397/304551/252893/25017/289785/362044/294286/305012/25365/315740/293502/303242/300158,28
Organismal Systems,Circulatory system,rno04260,Cardiac muscle contraction,16/587,78/7057,0.000562662,0.010756775,0.009720292,290561/29275/24585/25278/500450/29209/363925/24837/29507/688386/29557/689560/59299/116600/25297/25399,16
Human Diseases,Infectious disease: parasitic,rno05146,Amoebiasis,D,89/7057,0.000904045,0.016323043,0.014750216,29393/25661/84352/84032/309684/81634/29221/307582/192362/25325/25021/305078/501854/89788/60350/293508/363265,17
Human Diseases,Cancer: overview,rno05204,Chemical carcinogenesis - DNA adducts,11/587,46/7057,0.0010829,0.017768896,0.016056751,289197/25116/24861/113992/154516/301595/396527/396551/396552/574523/295037,11
Environmental Information Processing,Signaling molecules and interaction,rno04061,Viral protein interaction with cytokine and cytokine receptor,15/587,75/7057,0.001093471,0.017768896,0.016056751,25325/24772/29197/681145/688605/305236/54258/246759/287561/29397/89808/362505/287562/60665/366518,15
Organismal Systems,Digestive system,rno04976,Bile secretion,14/587,68/7057,0.001181263,0.018281456,0.016519923,25073/24861/113992/154516/301595/396527/396551/396552/574523/64508/64532/293508/24784/297386,14
Organismal Systems,Digestive system,rno04979,Cholesterol metabolism,11/587,47/7057,0.001309922,0.019351121,0.017486519,25073/296371/313210/81782/266732/286898/291437/25728/362850/25292/266770,11
Organismal Systems,Immune system,rno04640,Hematopoietic cell lineage,15/587,77/7057,0.001448449,0.02046722,0.018495075,81641/64678/25406/24930/690492/652957/24931/24590/25021/29185/246144/60350/295279/140635/54236,15
Human Diseases,Infectious disease: bacterial,rno05150,Staphylococcus aureus infection,12/587,56/7057,0.001819181,0.023962306,0.021653388,309684/24231/294257/289211/25325/498276/25021/58949/64023/304966/295279/79126,12
Metabolism,Metabolism of cofactors and vitamins,rno00830,Retinol metabolism,10/587,42/7057,0.001875476,0.023962306,0.021653388,24861/113992/154516/301595/396527/396551/396552/574523/312495/24188,10
Environmental Information Processing,Signaling molecules and interaction,rno04060,Cytokine-cytokine receptor interaction,31/587,217/7057,0.001916985,0.023962306,0.021653388,25556/25341/362417/361749/652957/25325/24772/353218/316256/29197/681145/171106/24504/688605/305236/54258/246759/171081/246144/287561/171499/29397/89808/60582/690369/362505/287562/365395/89814/60665/366518,31
Organismal Systems,Circulatory system,rno04261,Adrenergic signaling in cardiomyocytes,22/587,140/7057,0.002586634,0.030864794,0.027890777,24180/362165/290561/363122/64508/29275/24585/500450/363925/29412/360718/24837/29557/689560/84020/116600/64532/25297/25399/293508/25665/365603,22
Organismal Systems,Immune system,rno04610,Complement and coagulation cascades,13/587,66/7057,0.002659121,0.030864794,0.027890777,24617/309684/24854/24231/294257/25619/25021/64023/50692/362248/24237/304929/79126,13
Human Diseases,Infectious disease: parasitic,rno05144,Malaria,12/587,60/7057,0.003357162,0.036833917,0.033284738,25361/292406/25216/309684/120093104/25325/29220/445442/29197/24446/497796/287562,12
Organismal Systems,Development and regeneration,rno04380,Osteoclast differentiation,19/587,117/7057,0.003400054,0.036833917,0.033284738,25341/301227/308350/65146/361537/29175/289211/25155/498276/79129/25732/292594/499356/304966/367901/364018/366126/295279/292537,19
Environmental Information Processing,Signal transduction,rno04151,PI3K-Akt signaling pathway,39/587,304/7057,0.003962724,0.041544683,0.037541593,304913/29393/25661/315744/84352/292406/294337/361821/116640/361992/364786/25155/307582/192362/362584/362165/363122/25317/80850/29220/445442/25713/24446/361042/501047/29496/66018/305078/246144/25353/25729/25724/78975/140635/245986/294962/24477/54250/363265,39
