gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSRNOG00000016945,572.3753791,-1.277489463,0.22872483,-5.585267956,2.33E-08,0.000145079
ENSRNOG00000030187,2210.569615,1.29479718,0.233616671,5.542400599,2.98E-08,0.000145079
ENSRNOG00000010507,51.47480446,1.503353136,0.318547371,4.719402115,2.37E-06,0.006901257
ENSRNOG00000020622,497.1072908,-1.213618053,0.260186019,-4.664424535,3.09E-06,0.007524536
ENSRNOG00000006926,138.1659797,1.60835896,0.357768745,4.49552674,6.94E-06,0.013314982
ENSRNOG00000052940,151.7704625,1.026733974,0.230234563,4.459512779,8.21E-06,0.013314982
ENSRNOG00000001476,59.31662816,1.237201074,0.276590374,4.473044578,7.71E-06,0.013314982
ENSRNOG00000003510,148.9167641,-1.048771356,0.237646749,-4.413152555,1.02E-05,0.014861694
ENSRNOG00000048472,2998.698233,-1.111146509,0.256315405,-4.335075026,1.46E-05,0.019323851
ENSRNOG00000043451,11743.57349,1.041322203,0.246331158,4.227326375,2.36E-05,0.022998908
ENSRNOG00000049070,136.440214,6.4177241,1.512906396,4.241983586,2.22E-05,0.022998908
ENSRNOG00000001757,117.005183,1.495366441,0.359735879,4.156845421,3.23E-05,0.024774428
ENSRNOG00000003533,43.23618571,1.310843146,0.318585498,4.11457255,3.88E-05,0.027805524
ENSRNOG00000023348,90.66266916,1.028648012,0.253503961,4.057719688,4.96E-05,0.031430287
ENSRNOG00000015774,109.5995135,1.324070009,0.329532772,4.018022243,5.87E-05,0.03463498
ENSRNOG00000008816,21567.26641,1.235181811,0.310688741,3.975624634,7.02E-05,0.03828094
ENSRNOG00000015024,61.25488761,1.109836612,0.280084778,3.962502425,7.42E-05,0.03864166
ENSRNOG00000033059,109.9779113,1.371398916,0.35209071,3.895015912,9.82E-05,0.046207388
