"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050839","cell adhesion molecule binding","4/14","270/12768",0.000165618300609762,0.0137463189506102,0.00801941245057795,"Comp/Spp1/Tbc1d2/Gpnmb",4
"GO:0005178","integrin binding","3/14","140/12768",0.000429873669979359,0.0139944410917122,0.00816416347772682,"Comp/Spp1/Gpnmb",3
"GO:0008201","heparin binding","3/14","148/12768",0.000505823171989596,0.0139944410917122,0.00816416347772682,"Mmp7/Comp/Gpnmb",3
"GO:0043394","proteoglycan binding","2/14","36/12768",0.000688568274904195,0.014287791704262,0.00833530016989288,"Comp/Gpnmb",2
"GO:0005539","glycosaminoglycan binding","3/14","201/12768",0.00123088568274017,0.0204327023334868,0.0119201560854837,"Mmp7/Comp/Gpnmb",3
"GO:1901681","sulfur compound binding","3/14","240/12768",0.00204800538772413,0.0238705605477533,0.0139257550437115,"Mmp7/Comp/Gpnmb",3
"GO:0005254","chloride channel activity","2/14","63/12768",0.00209877147279964,0.0238705605477533,0.0139257550437115,"Cldn4/Clcn4",2
"GO:0005518","collagen binding","2/14","66/12768",0.00230077692026538,0.0238705605477533,0.0139257550437115,"Mmp12/Comp",2
"GO:0005253","monoatomic anion channel activity","2/14","72/12768",0.00273134672494363,0.025189086463369,0.014694964835954,"Cldn4/Clcn4",2
"GO:0004222","metalloendopeptidase activity","2/14","90/12768",0.00423180916204468,0.0351240160449708,0.0204908654162163,"Mmp12/Mmp7",2
"GO:0015108","chloride transmembrane transporter activity","2/14","102/12768",0.00540199962962218,0.0407605426598765,0.0237791371256096,"Cldn4/Clcn4",2
"GO:0005216","monoatomic ion channel activity","3/14","359/12768",0.00637093343501925,0.0438957089173283,0.0256081497805593,"Cldn4/Clcn4/Mcoln3",3
"GO:0008509","monoatomic anion transmembrane transporter activity","2/14","120/12768",0.00740409548003128,0.0438957089173283,0.0256081497805593,"Cldn4/Clcn4",2
"GO:0015103","inorganic anion transmembrane transporter activity","2/14","120/12768",0.00740409548003128,0.0438957089173283,0.0256081497805593,"Cldn4/Clcn4",2
"GO:0015267","channel activity","3/14","399/12768",0.008529039328128,0.044244391514664,0.0258115663877558,"Cldn4/Clcn4/Mcoln3",3
"GO:0022803","passive transmembrane transporter activity","3/14","399/12768",0.008529039328128,0.044244391514664,0.0258115663877558,"Cldn4/Clcn4/Mcoln3",3
