"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015671","oxygen transport","9/238","15/13920",4.91578384477675e-13,1.67185808560857e-09,1.50526475836375e-09,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Hbb/Hbb-b1/Hbb-bs/LOC100134871/Hbb-b2",9
"GO:0015669","gas transport","9/238","22/13920",4.40119803463267e-11,7.48423725789285e-08,6.73846583302444e-08,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Hbb/Hbb-b1/Hbb-bs/LOC100134871/Hbb-b2",9
"GO:0015670","carbon dioxide transport","6/238","13/13920",3.6416405160637e-08,4.12840646504421e-05,3.71702886358923e-05,"Hba-a1/Hba-a2/Hbb/Hbb-bs/LOC100134871/Hbb-b2",6
"GO:1990266","neutrophil migration","12/238","116/13920",6.77386932057943e-07,0.000575948238982266,0.000518557522462251,"Spp1/Adam8/Ccl19/Itgb2/Dpep1/Lgals3/Thbs4/Ptger3/Ccl12/Lbp/Cxcl11/Cxcl13",12
"GO:0097530","granulocyte migration","13/238","144/13920",1.11597914769947e-06,0.000650081691571989,0.000585303901571648,"Spp1/Adam8/Ccl19/Itgb2/Dpep1/Cd300a/Lgals3/Thbs4/Ptger3/Ccl12/Lbp/Cxcl11/Cxcl13",13
"GO:0098869","cellular oxidant detoxification","10/238","81/13920",1.14686567169419e-06,0.000650081691571989,0.000585303901571648,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Prdx5/Mt3/Hbb/Hbb-bs/LOC100134871/Hbb-b2",10
"GO:0042744","hydrogen peroxide catabolic process","6/238","22/13920",1.39149459497976e-06,0.000676067588218024,0.000608700417563328,"Hba-a1/Hba-a2/Hba-a3/Prdx5/Mt3/Hbb",6
"GO:0019755","one-carbon compound transport","8/238","49/13920",1.59942231169348e-06,0.000679954410258692,0.000612199934831098,"Hba-a1/Hba-a2/Ptger3/Hbb/Hbb-bs/LOC100134871/Hbb-b2/Aqp7",8
"GO:0050900","leukocyte migration","20/238","360/13920",3.81864922908438e-06,0.00144302511423511,0.00129923398917035,"Spp1/Adam8/Ccl19/Itgb2/Dpep1/Pla2g7/Cd300a/Lgals3/Stk10/Alox5/Thbs4/Ptger3/Ccl12/Myo1g/Lbp/Cxcl11/Abl1/Cadm1/Cxcl13/Stap1",20
"GO:0030593","neutrophil chemotaxis","10/238","95/13920",5.00606060815211e-06,0.00159515435941216,0.00143620422214209,"Spp1/Ccl19/Itgb2/Dpep1/Lgals3/Thbs4/Ccl12/Lbp/Cxcl11/Cxcl13",10
"GO:0097529","myeloid leukocyte migration","15/238","218/13920",5.15927608160358e-06,0.00159515435941216,0.00143620422214209,"Spp1/Adam8/Ccl19/Itgb2/Dpep1/Pla2g7/Cd300a/Lgals3/Thbs4/Ptger3/Ccl12/Lbp/Cxcl11/Cxcl13/Stap1",15
"GO:1990748","cellular detoxification","10/238","100/13920",7.95937961899585e-06,0.00225582084035041,0.00203103818523324,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Prdx5/Mt3/Hbb/Hbb-bs/LOC100134871/Hbb-b2",10
"GO:0070372","regulation of ERK1 and ERK2 cascade","17/238","300/13920",1.61098132614957e-05,0.00421457499248821,0.00379461107511667,"Pla2g2a/Gpnmb/Ccl19/Fbln1/Atf3/Adipoq/Mt3/Chi3l1/Nrxn1/P2ry1/Ccl12/Dusp29/Abl1/Ros1/C3/Scimp/Havcr2",17
"GO:0030595","leukocyte chemotaxis","14/238","216/13920",2.10007644693275e-05,0.00493389378453959,0.004442252903705,"Spp1/Adam8/Ccl19/Itgb2/Dpep1/Pla2g7/Lgals3/Alox5/Thbs4/Ccl12/Lbp/Cxcl11/Cxcl13/Stap1",14
"GO:0097237","cellular response to toxic substance","10/238","112/13920",2.17607782323122e-05,0.00493389378453959,0.004442252903705,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Prdx5/Mt3/Hbb/Hbb-bs/LOC100134871/Hbb-b2",10
"GO:0006959","humoral immune response","12/238","165/13920",2.6601147951512e-05,0.00565440651144328,0.00509096969677293,"Mmp7/Ccl19/Lgals3/Alox5/Ccl12/Susd4/Cxcl11/C3/Fcna/Romo1/Cxcl13/C6",12
"GO:0098754","detoxification","10/238","117/13920",3.18356428314851e-05,0.00636900125116946,0.00573435820413562,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Prdx5/Mt3/Hbb/Hbb-bs/LOC100134871/Hbb-b2",10
"GO:0071621","granulocyte chemotaxis","10/238","119/13920",3.68605904813656e-05,0.0067499461319754,0.00607734359798711,"Spp1/Ccl19/Itgb2/Dpep1/Lgals3/Thbs4/Ccl12/Lbp/Cxcl11/Cxcl13",10
"GO:0042060","wound healing","18/238","354/13920",3.85116441303168e-05,0.0067499461319754,0.00607734359798711,"Mmp12/Cldn4/Comp/Fbln1/Tmeff2/Foxc2/Slc7a11/Cadm4/Alox5/Myoz1/F13a1/Mmrn1/Hbb/P2ry1/Prkcq/F2rl2/Dmtn/Gpr4",18
"GO:0070371","ERK1 and ERK2 cascade","17/238","322/13920",3.96938908084411e-05,0.0067499461319754,0.00607734359798711,"Pla2g2a/Gpnmb/Ccl19/Fbln1/Atf3/Adipoq/Mt3/Chi3l1/Nrxn1/P2ry1/Ccl12/Dusp29/Abl1/Ros1/C3/Scimp/Havcr2",17
