"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005344","oxygen carrier activity","9/224","14/12768",2.48850922562875e-13,1.22683504823497e-10,1.10804147625364e-10,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Hbb/Hbb-b1/Hbb-bs/LOC100134871/Hbb-b2",9
"GO:0019825","oxygen binding","7/224","23/12768",8.99264803023466e-08,2.21668773945284e-05,2.00204742988909e-05,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Hbb/Hbb-b1/Hbb-b2",7
"GO:0048018","receptor ligand activity","19/224","345/12768",1.06644633357644e-05,0.00139586937326469,0.00126070832687299,"Spp1/Gpnmb/Ccl19/Crlf1/Adipoq/Lgals3/Tnfsf13b/Sema3g/Gdf10/Thbs4/Grem2/Ccl12/Cxcl11/Efemp1/Fgf7/Cxcl13/F2rl2/Gdf15/Cripto",19
"GO:0030545","signaling receptor regulator activity","20/224","380/12768",1.21017201509223e-05,0.00139586937326469,0.00126070832687299,"Spp1/Gpnmb/Ccl19/Crlf1/Adipoq/Lgals3/Tnfsf13b/Sema3g/Gdf10/Thbs4/Grem2/Ccl12/Cxcl11/Efemp1/Fgf7/Cxcl13/F2rl2/Gdf15/Dkk2/Cripto",20
"GO:0030546","signaling receptor activator activity","19/224","352/12768",1.41568901953823e-05,0.00139586937326469,0.00126070832687299,"Spp1/Gpnmb/Ccl19/Crlf1/Adipoq/Lgals3/Tnfsf13b/Sema3g/Gdf10/Thbs4/Grem2/Ccl12/Cxcl11/Efemp1/Fgf7/Cxcl13/F2rl2/Gdf15/Cripto",19
"GO:0140104","molecular carrier activity","9/224","85/12768",1.73650962379824e-05,0.00142683207422089,0.00128867293134501,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Hbb/Hbb-b1/Hbb-bs/LOC100134871/Hbb-b2",9
"GO:0004601","peroxidase activity","6/224","42/12768",8.43654760717771e-05,0.00594173995762659,0.00536640547043034,"Hba-a1/Hba-a2/Hba-a3/Prdx5/Gsta1/Hbb",6
"GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","6/224","44/12768",0.000110258176508429,0.00679466012733193,0.00613673798198229,"Hba-a1/Hba-a2/Hba-a3/Prdx5/Gsta1/Hbb",6
"GO:0043177","organic acid binding","12/224","193/12768",0.000153034845913343,0.00838290878169755,0.00757119763992327,"Fmo3/Siglec5/Hba-a1/Hba-a2/Hba-a3/Adipoq/Gsta1/Fabp4/Rtn4r/Hbb/Siglec10/Rbp7",12
"GO:0008201","heparin binding","10/224","148/12768",0.000279171189083732,0.0131717741295907,0.011896360535533,"Mmp7/Comp/Gpnmb/Rtn4r/Thbs4/Grem2/Cxcl11/Fgf7/Cxcl13/Ecm2",10
"GO:0020037","heme binding","9/224","122/12768",0.000293893540416832,0.0131717741295907,0.011896360535533,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Hbb/Hbb-b1/Hbb-bs/LOC100134871/Hbb-b2",9
"GO:0046906","tetrapyrrole binding","9/224","131/12768",0.000497350374934472,0.0204328112368912,0.0184543165436212,"Hba-a1/Hba-a2/Hbq1b/Hba-a3/Hbb/Hbb-b1/Hbb-bs/LOC100134871/Hbb-b2",9
"GO:0005539","glycosaminoglycan binding","11/224","201/12768",0.000843082265924724,0.0316651714812453,0.028599055271841,"Mmp7/Comp/Acan/Gpnmb/Rtn4r/Thbs4/Grem2/Cxcl11/Fgf7/Cxcl13/Ecm2",11
"GO:0016209","antioxidant activity","6/224","65/12768",0.000950255584063342,0.0316651714812453,0.028599055271841,"Hba-a1/Hba-a2/Hba-a3/Prdx5/Gsta1/Hbb",6
"GO:0050839","cell adhesion molecule binding","13/224","270/12768",0.000967591220490904,0.0316651714812453,0.028599055271841,"Comp/Spp1/Tbc1d2/Gpnmb/Adam8/Fbln1/Itgb2/Thbs4/Nrxn1/Itga10/Emb/Cadm1/Cdh7",13
"GO:0033691","sialic acid binding","3/224","12/12768",0.00104266725471067,0.0316651714812453,0.028599055271841,"Siglec5/Adipoq/Siglec10",3
"GO:1901681","sulfur compound binding","12/224","240/12768",0.00109190246487053,0.0316651714812453,0.028599055271841,"Mmp7/Comp/Acp5/Gpnmb/Rtn4r/Thbs4/Grem2/Cxcl11/Fgf7/Atp1a3/Cxcl13/Ecm2",12
"GO:0017147","Wnt-protein binding","4/224","27/12768",0.00117872454379391,0.0322839555605778,0.0291579229254284,"Frzb/Musk/Sfrp5/Cripto",4
"GO:0005125","cytokine activity","9/224","155/12768",0.00164680619317384,0.0427302870123528,0.0385927434743786,"Spp1/Ccl19/Crlf1/Gdf10/Grem2/Ccl12/Cxcl11/Cxcl13/Gdf15",9
