ENSEMBL,ENTREZID,SYMBOL
ENSRNOG00000016945,29692,Pla2g2a
ENSRNOG00000030187,117033,Mmp12
ENSRNOG00000010507,25335,Mmp7
ENSRNOG00000020622,306356,Cilp2
ENSRNOG00000006926,297932,Atp6v0d2
ENSRNOG00000052940,501740,RGD1562156
ENSRNOG00000001476,304407,Cldn4
ENSRNOG00000003510,246245,Fmo2
ENSRNOG00000048472,25304,Comp
ENSRNOG00000043451,25353,Spp1
ENSRNOG00000001757,288044,Tm4sf19
ENSRNOG00000003533,60586,Clcn4
ENSRNOG00000023348,313234,Tbc1d2
ENSRNOG00000015774,501162,Mreg
ENSRNOG00000008816,113955,Gpnmb
ENSRNOG00000015024,308022,Mcoln3
ENSRNOG00000033059,100361647,Galnt6
