"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000016945","29692","Pla2g2a"
"ENSRNOG00000030187","117033","Mmp12"
"ENSRNOG00000010507","25335","Mmp7"
"ENSRNOG00000020622","306356","Cilp2"
"ENSRNOG00000006926","297932","Atp6v0d2"
"ENSRNOG00000001476","304407","Cldn4"
"ENSRNOG00000052940","501740","RGD1562156"
"ENSRNOG00000003510","246245","Fmo2"
"ENSRNOG00000048472","25304","Comp"
"ENSRNOG00000028992","58968","Acan"
"ENSRNOG00000043451","25353","Spp1"
"ENSRNOG00000003620","84493","Fmo3"
"ENSRNOG00000007364","299156","Rab15"
"ENSRNOG00000046261","25732","Acp5"
"ENSRNOG00000001757","288044","Tm4sf19"
"ENSRNOG00000003533","60586","Clcn4"
"ENSRNOG00000021474","292843","Siglec5"
"ENSRNOG00000023348","313234","Tbc1d2"
"ENSRNOG00000015774","501162","Mreg"
"ENSRNOG00000047367","688292","Card14"
"ENSRNOG00000008816","113955","Gpnmb"
"ENSRNOG00000015024","308022","Mcoln3"
"ENSRNOG00000029886","25632","Hba-a1"
"ENSRNOG00000029886","360504","Hba-a2"
"ENSRNOG00000029886","100361053","Hbq1b"
"ENSRNOG00000033059","100361647","Galnt6"
"ENSRNOG00000046683","308350","Lilrb3"
"ENSRNOG00000009484","500199","Ptcd3"
"ENSRNOG00000034191","25256","Fmo1"
"ENSRNOG00000047321","287167","Hba-a3"
"ENSRNOG00000017897","499285","Adam8"
"ENSRNOG00000015668","362506","Ccl19"
"ENSRNOG00000002396","288937","Serpinb8"
"ENSRNOG00000015157","679629","Smtnl2"
"ENSRNOG00000009862","93667","Olfm1"
"ENSRNOG00000014137","315191","Fbln1"
"ENSRNOG00000026235","25060","Hk3"
"ENSRNOG00000059500","246060","Cdkn1c"
"ENSRNOG00000048771","501742","RGD1562667"
"ENSRNOG00000015354","54349","Aox1"
"ENSRNOG00000003745","25389","Atf3"
"ENSRNOG00000011891","117596","Atp6v1b2"
"ENSRNOG00000001224","309684","Itgb2"
"ENSRNOG00000009227","83518","Aplnr"
"ENSRNOG00000021125","113898","Prdx5"
"ENSRNOG00000020030","290655","Crlf1"
"ENSRNOG00000016573","252900","Dgat2"
"ENSRNOG00000015880","94199","Dpep1"
"ENSRNOG00000006735","25164","Cdkn2b"
"ENSRNOG00000016623","363228","Tmeff2"
"ENSRNOG00000019147","296655","Stom"
"ENSRNOG00000004754","500707","Tc2n"
"ENSRNOG00000025691","301265","Pla2g7"
"ENSRNOG00000001821","246253","Adipoq"
"ENSRNOG00000003104","29465","Trpv2"
"ENSRNOG00000021441","24718","Reln"
"ENSRNOG00000017431","307907","6430548M08Rikl"
"ENSRNOG00000016479","307796","Plekhg4"
"ENSRNOG00000047446","171356","Foxc2"
"ENSRNOG00000057058","501736","Cd300a"
"ENSRNOG00000007827","84683","Cox4i2"
"ENSRNOG00000010645","83781","Lgals3"
"ENSRNOG00000008113","500552","RGD1561149"
"ENSRNOG00000037563","287435","Cd68"
"ENSRNOG00000049880","501201","Tmem200c"
"ENSRNOG00000018958","117038","Mt3"
"ENSRNOG00000007765","295691","Frzb"
"ENSRNOG00000014464","498666","Tnfsf13b"
"ENSRNOG00000013484","24421","Gsta1"
"ENSRNOG00000038286","498287","Slamf6"
"ENSRNOG00000010497","298077","Stra6l"
"ENSRNOG00000031851","100362331","Ndufa4l2"
"ENSRNOG00000010805","79451","Fabp4"
"ENSRNOG00000004217","29398","Stk10"
"ENSRNOG00000018952","290562","Sema3g"
"ENSRNOG00000024762","302826","Frmd7"
"ENSRNOG00000010210","310392","Slc7a11"
"ENSRNOG00000022635","64053","Dlg2"
"ENSRNOG00000024243","365216","Cadm4"
"ENSRNOG00000017367","292295","Pabpc6"
"ENSRNOG00000017108","29205","Syngr1"
"ENSRNOG00000001528","29423","Gap43"
"ENSRNOG00000012972","25290","Alox5"
"ENSRNOG00000033402","501110","Gsta6"
"ENSRNOG00000051993","79216","Gdf10"
"ENSRNOG00000010457","503052","Vash1"
"ENSRNOG00000042596","100361292","Spata31f1"
"ENSRNOG00000039390","500973","Slc37a2"
"ENSRNOG00000030920","113912","Rtn4r"
"ENSRNOG00000020206","171293","Ctsd"
"ENSRNOG00000033567","81725","Musk"
"ENSRNOG00000039969","291760","Dsc2"
"ENSRNOG00000013663","308602","Tmem86a"
