"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019730","antimicrobial humoral response","7/105","87/13846",4.18837478713094e-06,0.00875370330510367,0.00793586801772178,"Ccl12/Reg3g/Spon2/Mmp7/Ccl21/Acod1/Cxcl10",7
"GO:0032922","circadian regulation of gene expression","6/105","71/13846",1.58226288013469e-05,0.0156678454356456,0.0142040401834108,"Ciart/Npas2/Per3/Bmal1/Cry1/Per2",6
"GO:0032496","response to lipopolysaccharide","13/105","432/13846",2.27823136329739e-05,0.0156678454356456,0.0142040401834108,"Slc11a1/Nr4a1/Fmo1/Cd274/Spon2/Tirap/Cd55/Acod1/Akap12/Igfbp3/Gbp5/Cxcl10/Ido1",13
"GO:0002237","response to molecule of bacterial origin","13/105","446/13846",3.17720017318247e-05,0.0156678454356456,0.0142040401834108,"Slc11a1/Nr4a1/Fmo1/Cd274/Spon2/Tirap/Cd55/Acod1/Akap12/Igfbp3/Gbp5/Cxcl10/Ido1",13
"GO:0006959","humoral immune response","8/105","166/13846",3.7482883817334e-05,0.0156678454356456,0.0142040401834108,"Ccl12/Reg3g/Spon2/Mmp7/Ccl21/Cd55/Acod1/Cxcl10",8
"GO:0001819","positive regulation of cytokine production","13/105","464/13846",4.77959457106552e-05,0.0166489210892115,0.0150934565402069,"Vegfd/Hpse/Slc11a1/Cd274/Spon2/Tirap/Mapk13/Cyp2j4/Ccl4/Cd55/Akap12/Gbp5/Ido1",13
"GO:0030593","neutrophil chemotaxis","6/105","93/13846",7.36094489511336e-05,0.0219776783296956,0.0199243621221113,"Ccl12/Dpp4/Tirap/Ccl4/Ccl21/Cxcl10",6
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","5/105","66/13846",0.000141071126422144,0.0368548317777851,0.0334115825736657,"Ccl12/Reg3g/Mmp7/Ccl21/Cxcl10",5
"GO:0006805","xenobiotic metabolic process","5/105","71/13846",0.000199454278231699,0.0410286937719296,0.0371954917096314,"Fmo1/Fmo2/Cyp2j4/Cyp2j3/Fmo3",5
"GO:0070555","response to interleukin-1","7/105","159/13846",0.000204733950903115,0.0410286937719296,0.0371954917096314,"Vegfd/Ccl12/Mapk13/Ccl4/Ccl21/Acod1/Akap12",7
"GO:1990266","neutrophil migration","6/105","113/13846",0.000215940493536471,0.0410286937719296,0.0371954917096314,"Ccl12/Dpp4/Tirap/Ccl4/Ccl21/Cxcl10",6
"GO:0071621","granulocyte chemotaxis","6/105","116/13846",0.000249002960762345,0.0433680156661083,0.0393162569624755,"Ccl12/Dpp4/Tirap/Ccl4/Ccl21/Cxcl10",6
"GO:0048511","rhythmic process","10/105","346/13846",0.000293294232689488,0.0467026146873237,0.0423393132395782,"Ciart/Npas2/Per3/Bmal1/Dbp/Tef/Cry1/Per2/Mmp7/Erbb3",10
"GO:0002688","regulation of leukocyte chemotaxis","6/105","121/13846",0.000312840481159106,0.0467026146873237,0.0423393132395782,"Vegfd/Dpp4/Tirap/Ccl4/Ccl21/Cxcl10",6
"GO:0071347","cellular response to interleukin-1","6/105","126/13846",0.000388866985859754,0.0467124206009472,0.0423482030126945,"Ccl12/Mapk13/Ccl4/Ccl21/Acod1/Akap12",6
"GO:0030198","extracellular matrix organization","9/105","294/13846",0.000392477931124673,0.0467124206009472,0.0423482030126945,"Tnfrsf11b/Fmod/Dmp1/Dpp4/Mmp7/Sfrp2/Cyp2j4/Cma1/Tgfbi",9
"GO:0045229","external encapsulating structure organization","9/105","294/13846",0.000392477931124673,0.0467124206009472,0.0423482030126945,"Tnfrsf11b/Fmod/Dmp1/Dpp4/Mmp7/Sfrp2/Cyp2j4/Cma1/Tgfbi",9
"GO:0043062","extracellular structure organization","9/105","295/13846",0.000402307928620598,0.0467124206009472,0.0423482030126945,"Tnfrsf11b/Fmod/Dmp1/Dpp4/Mmp7/Sfrp2/Cyp2j4/Cma1/Tgfbi",9
"GO:0042953","lipoprotein transport","3/105","21/13846",0.000510304005534631,0.0496076389952538,0.0449729288297441,"Apobec1/Msr1/Surf4",3
"GO:0071706","tumor necrosis factor superfamily cytokine production","7/105","186/13846",0.000529934233602193,0.0496076389952538,0.0449729288297441,"Cd274/Errfi1/Spon2/Tirap/Cyp2j4/Ccl4/Akap12",7
"GO:1903555","regulation of tumor necrosis factor superfamily cytokine production","7/105","186/13846",0.000529934233602193,0.0496076389952538,0.0449729288297441,"Cd274/Errfi1/Spon2/Tirap/Cyp2j4/Ccl4/Akap12",7
"GO:0045604","regulation of epidermal cell differentiation","4/105","50/13846",0.000550034395382308,0.0496076389952538,0.0449729288297441,"Errfi1/Reg3g/Mycl/Vdr",4
"GO:0043153","entrainment of circadian clock by photoperiod","3/105","22/13846",0.000587631638245136,0.0496076389952538,0.0449729288297441,"Per3/Cry1/Per2",3
"GO:0044872","lipoprotein localization","3/105","22/13846",0.000587631638245136,0.0496076389952538,0.0449729288297441,"Apobec1/Msr1/Surf4",3
"GO:0048247","lymphocyte chemotaxis","4/105","51/13846",0.000593392810948012,0.0496076389952538,0.0449729288297441,"Ccl12/Ccl4/Ccl21/Cxcl10",4
