"gene_id","SYMBOL","baseMean","log2FoldChange","pvalue","padj"
"ENSRNOG00000010507","Mmp7",80.6997110258908,0.587947877396717,0.011407097352946,0.999975637485832
"ENSRNOG00000003897","Col1a1",259420.949992684,0.500178220025321,0.0700046551850797,0.999975637485832
"ENSRNOG00000016695","Mmp2",23621.4309220261,0.403385723294832,0.0714523953252704,0.999975637485832
"ENSRNOG00000012660","Postn",40161.4856829184,0.67965608115405,0.0967336489944162,0.999975637485832
"ENSRNOG00000013265","Tgfbr2",807.6715304711,-0.395931874881392,0.229615028744748,0.999975637485832
"ENSRNOG00000032626","Mmp3",16.3978603941438,2.84314778214319,0.247136819944682,0.999975637485832
"ENSRNOG00000011292","Col1a2",433.852217497264,0.199510355209017,0.297208727280928,0.999975637485832
"ENSRNOG00000010208","Timp1",5673.35313111732,0.728893250099623,0.323717842510442,0.999975637485832
"ENSRNOG00000030187","Mmp12",3933.2741397935,0.203846998788216,0.327128245403726,0.999975637485832
"ENSRNOG00000007036","Tgfbr1",767.523645295424,-0.141761487310402,0.481714384529149,0.999975637485832
"ENSRNOG00000033143","Timp2",6.54416816401377,0.723899544340968,0.491761220599711,0.999975637485832
"ENSRNOG00000014426","Lox",5115.24079549325,-0.151225674195339,0.492112012469891,0.999975637485832
"ENSRNOG00000017539","Mmp9",120.215071863369,0.31751968101289,0.582322715098106,0.999975637485832
"ENSRNOG00000018140","Smad2",347.591940286723,-0.0695863714445772,0.626280212785025,0.999975637485832
"ENSRNOG00000020652","Tgfb1",1446.35686274589,0.0635183895972603,0.708131558057756,0.999975637485832
"ENSRNOG00000014288","Fn1",41138.3350215233,-0.0498549440611919,0.720918279710569,0.999975637485832
"ENSRNOG00000051965","Smad4",343.505841657525,0.051134264284272,0.730651236195649,0.999975637485832
"ENSRNOG00000009867","Tgfb3",2458.99283634497,-0.136729041259986,0.758058434599371,0.999975637485832
"ENSRNOG00000018359","Smad7",468.637736439608,0.0736755069642622,0.783876011968793,0.999975637485832
"ENSRNOG00000058039","Acta2",12967.9646900552,-0.0401927986593133,0.87801679949111,0.999975637485832
"ENSRNOG00000016758","Loxl2",729.78306603165,-0.0366582977550789,0.896996601632472,0.999975637485832
"ENSRNOG00000013589","Cxcl12",1690.89048589753,0.0333764823057197,0.922119702525969,0.999975637485832
"ENSRNOG00000001414","Serpine1",3918.25198591513,0.0353946066392551,0.92270988914771,0.999975637485832
"ENSRNOG00000002418","Tgfb2",752.326134973418,-0.0210569314028792,0.9420199231203,0.999975637485832
"ENSRNOG00000008620","Smad3",366.822580844093,-0.00485065604915794,0.977342718481417,0.999975637485832
"ENSRNOG00000003357","Col3a1",282771.501467307,0.00112780082200926,0.99184941706594,0.999975637485832
