"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000058909","103689992","Rps9"
"ENSRNOG00000003587","360457","Vegfd"
"ENSRNOG00000046663","498276","LOC498276"
"ENSRNOG00000046663","103693683","Fcgr2a-ps1"
"ENSRNOG00000002188","64537","Hpse"
"ENSRNOG00000042717","365871","Ciart"
"ENSRNOG00000013408","316351","Npas2"
"ENSRNOG00000018413","78962","Per3"
"ENSRNOG00000015411","25383","Apobec1"
"ENSRNOG00000014956","316519","Slc11a1"
"ENSRNOG00000007607","79240","Nr4a1"
"ENSRNOG00000014448","29657","Bmal1"
"ENSRNOG00000021027","24309","Dbp"
"ENSRNOG00000012442","308797","Cemip"
"ENSRNOG00000034191","25256","Fmo1"
"ENSRNOG00000003553","305604","Efemp1"
"ENSRNOG00000008137","289019","Cdk18"
"ENSRNOG00000029768","287562","Ccl12"
"ENSRNOG00000019383","29362","Tef"
"ENSRNOG00000008336","25341","Tnfrsf11b"
"ENSRNOG00000016112","499342","Cd274"
"ENSRNOG00000003183","64507","Fmod"
"ENSRNOG00000002167","25312","Dmp1"
"ENSRNOG00000058186","313729","Errfi1"
"ENSRNOG00000006622","299691","Cry1"
"ENSRNOG00000020254","63840","Per2"
"ENSRNOG00000006579","24620","Reg3g"
"ENSRNOG00000014311","84551","Slc7a8"
"ENSRNOG00000030763","25253","Dpp4"
"ENSRNOG00000022921","308212","Dact2"
"ENSRNOG00000057078","140942","Ddit4"
"ENSRNOG00000056219","140914","Olr1"
"ENSRNOG00000026060","307404","Arsi"
"ENSRNOG00000003510","246245","Fmo2"
"ENSRNOG00000018434","100363145","Stab1"
"ENSRNOG00000012779","498638","Msr1"
"ENSRNOG00000017395","79107","Duox2"
"ENSRNOG00000015957","60327","F13a1"
"ENSRNOG00000006033","171569","Spon2"
"ENSRNOG00000021420","680127","Tirap"
"ENSRNOG00000010507","25335","Mmp7"
"ENSRNOG00000009465","310552","Sfrp2"
"ENSRNOG00000000515","29513","Mapk13"
"ENSRNOG00000014259","298506","Mycl"
"ENSRNOG00000031004","65210","Cyp2j4"
"ENSRNOG00000031004","313375","Cyp2j3"
"ENSRNOG00000004560","257648","Cacna1b"
"ENSRNOG00000043465","54323","Arc"
"ENSRNOG00000055966","689800","LOC689800"
"ENSRNOG00000011406","116637","Ccl4"
"ENSRNOG00000004964","29496","Erbb3"
"ENSRNOG00000003517","303398","Tbx2"
"ENSRNOG00000010017","308937","Wee1"
"ENSRNOG00000036828","29691","Pde1b"
"ENSRNOG00000054420","24873","Vdr"
"ENSRNOG00000038957","307412","RGD1305184"
"ENSRNOG00000034290","298006","Ccl21"
"ENSRNOG00000049766","81779","Sctr"
"ENSRNOG00000002470","246208","Ifi47"
"ENSRNOG00000018576","362627","Rcan3"
"ENSRNOG00000015822","499171","Klf13"
"ENSRNOG00000003620","84493","Fmo3"
"ENSRNOG00000013017","25243","Arnt2"
"ENSRNOG00000059890","362445","Clec2d2"
"ENSRNOG00000018254","307309","Sncaip"
"ENSRNOG00000037339","292844","Siglec10"
"ENSRNOG00000058193","291582","Slc27a6"
"ENSRNOG00000022432","306349","Tmem59l"
"ENSRNOG00000052573","120102082","Snord17"
"ENSRNOG00000020563","25627","Cma1"
"ENSRNOG00000010262","24443","Hdc"
"ENSRNOG00000003927","64036","Cd55"
"ENSRNOG00000022164","683603","Zscan2"
"ENSRNOG00000022321","308773","Hapln3"
"ENSRNOG00000000274","309901","Phyhipl"
"ENSRNOG00000004296","298881","Nt5c1b"
"ENSRNOG00000000636","309729","Rtkn2"
"ENSRNOG00000060005","64463","Surf1"
"ENSRNOG00000060005","619346","Surf4"
"ENSRNOG00000009919","306127","Acod1"
"ENSRNOG00000048187","691153","Epop"
"ENSRNOG00000056135","83514","Tsc22d3"
"ENSRNOG00000013330","93662","Cdhr1"
"ENSRNOG00000008575","65029","Aoc1"
"ENSRNOG00000054360","312727","Tspan11"
"ENSRNOG00000018339","499298","Cabp2"
"ENSRNOG00000039856","501101","Lrrc73"
"ENSRNOG00000008323","287467","Pitpnm3"
"ENSRNOG00000010883","362279","Pard6b"
"ENSRNOG00000050509","680609","Ebi3"
"ENSRNOG00000030048","501568","Cfap47"
"ENSRNOG00000019549","83425","Akap12"
"ENSRNOG00000008986","290396","Diaph3"
"ENSRNOG00000061910","24484","Igfbp3"
"ENSRNOG00000032240","362050","Gbp5"
"ENSRNOG00000025211","100361265","Cxhxorf49"
"ENSRNOG00000011360","295445","Dkk2"
"ENSRNOG00000018631","291354","Enkur"
"ENSRNOG00000027444","299008","Nubpl"
"ENSRNOG00000022256","245920","Cxcl10"
"ENSRNOG00000007942","296947","Fscn3"
"ENSRNOG00000004009","117522","Xpnpep2"
"ENSRNOG00000024435","288611","Galnt17"
"ENSRNOG00000011181","54242","Cpa3"
"ENSRNOG00000014549","310460","Arhgef26"
"ENSRNOG00000017086","296300","Zfp341"
"ENSRNOG00000004444","305501","Ikzf1"
"ENSRNOG00000012216","116487","Tgfbi"
"ENSRNOG00000031205","500817","RGD1563124"
"ENSRNOG00000036834","688730","Gpr84"
"ENSRNOG00000045553","683460","Proser2"
"ENSRNOG00000007830","444983","Apold1"
"ENSRNOG00000012447","291844","Setd6"
"ENSRNOG00000004133","29485","Slc7a3"
"ENSRNOG00000001971","303970","Bbx"
"ENSRNOG00000031189","66029","Ido1"
