"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000010507","25335","Mmp7"
"ENSRNOG00000046121","100909671","LOC100909671"
"ENSRNOG00000040300","120093164","LOC120093164"
"ENSRNOG00000023659","292461","Raet1l"
"ENSRNOG00000014303","292462","Lrp11"
"ENSRNOG00000014330","25604","Pcmt1"
"ENSRNOG00000049505","683983","Nup43"
"ENSRNOG00000014916","308265","Lats1"
"ENSRNOG00000014996","292464","Katna1"
"ENSRNOG00000015239","361448","Ginm1"
"ENSRNOG00000015552","361449","Ppil4"
"ENSRNOG00000016041","308266","Zc3h12d"
"ENSRNOG00000016054","308267","Tab2"
"ENSRNOG00000016381","361450","Ust"
"ENSRNOG00000013160","365037","Sash1"
"ENSRNOG00000023549","365038","Samd5"
"ENSRNOG00000031859","499133","RGD1562402"
"ENSRNOG00000013351","81022","Stxbp5"
"ENSRNOG00000042741","292477","Adgb"
"ENSRNOG00000014258","365042","Rab32"
"ENSRNOG00000014290","24414","Grm1"
"ENSRNOG00000014431","498977","Dctn3l1"
"ENSRNOG00000014450","308282","Shprh"
"ENSRNOG00000014852","308283","Fbxo30"
"ENSRNOG00000040242","114005","Epm2a"
"ENSRNOG00000011058","25600","Utrn"
"ENSRNOG00000014902","292483","Stx11"
"ENSRNOG00000014908","680891","Sf3b5"
"ENSRNOG00000025587","25157","Plagl1"
"ENSRNOG00000042705","100361672","Zc2hc1b"
"ENSRNOG00000015217","361452","Ltv1"
"ENSRNOG00000015473","308291","Phactr2"
"ENSRNOG00000015551","292485","Fuca2"
"ENSRNOG00000015660","83519","Pex3"
"ENSRNOG00000046983","361453","Adat2"
"ENSRNOG00000010753","292486","Aig1"
"ENSRNOG00000011015","29721","Hivep2"
"ENSRNOG00000011399","100912436","LOC100912436"
"ENSRNOG00000011411","308376","Adgrg6"
"ENSRNOG00000011540","292640","Vta1"
"ENSRNOG00000012092","681263","Gje1"
"ENSRNOG00000012103","25264","Nmbr"
"ENSRNOG00000056940","114490","Cited2"
"ENSRNOG00000060021","308622","Txlnb"
"ENSRNOG00000060610","120098792","LOC120098792"
"ENSRNOG00000060972","308624","Heca"
"ENSRNOG00000051450","685045","Abracl"
"ENSRNOG00000059224","292944","Reps1"
"ENSRNOG00000055142","103689991","Ect2l"
"ENSRNOG00000053347","361454","Ccdc28a"
"ENSRNOG00000059393","120100161","LOC120100161"
"ENSRNOG00000060603","308631","Nhsl1"
"ENSRNOG00000053735","308632","Hebp2"
"ENSRNOG00000011460","292947","Arfgef3"
"ENSRNOG00000011994","292949","Perp"
"ENSRNOG00000049517","683206","Tnfaip3"
"ENSRNOG00000012074","116465","Ifngr1"
"ENSRNOG00000012259","444986","Il22ra2"
"ENSRNOG00000012286","308716","Il20ra"
"ENSRNOG00000012322","308718","Pex7"
"ENSRNOG00000031700","365057","Map3k5"
"ENSRNOG00000012701","293016","Map7"
"ENSRNOG00000058050","293017","Bclaf1"
"ENSRNOG00000058050","100911069","Mtfr2"
"ENSRNOG00000013436","140929","Pde7b"
"ENSRNOG00000013969","308923","Ahi1"
"ENSRNOG00000055858","498982","Myb"
"ENSRNOG00000014531","293408","Hbs1l"
"ENSRNOG00000014907","685750","Aldh8a1"
"ENSRNOG00000011134","309368","Lama2"
"ENSRNOG00000011245","293947","Arhgap18"
"ENSRNOG00000011720","309550","L3mbtl3"
"ENSRNOG00000033517","100360791","LOC100360791"
"ENSRNOG00000039955","685940","Samd3"
"ENSRNOG00000047783","498987","Tmem200a"
"ENSRNOG00000053931","120100396","Rnu11-3"
"ENSRNOG00000012346","309557","Epb41l2"
"ENSRNOG00000013202","361458","Akap7"
"ENSRNOG00000055111","100364016","Ccnb2-ps2"
"ENSRNOG00000013304","29221","Arg1"
"ENSRNOG00000013422","309565","Med23"
"ENSRNOG00000013791","54410","Enpp3"
"ENSRNOG00000013994","85496","Enpp1"
"ENSRNOG00000015036","64032","Ccn2"
"ENSRNOG00000015321","294119","Moxd1"
"ENSRNOG00000015670","60466","Stx7"
"ENSRNOG00000029877","294122","Taar4"
"ENSRNOG00000016073","113914","Taar1"
"ENSRNOG00000016219","29142","Vnn1"
"ENSRNOG00000039865","498992","Vnn3"
"ENSRNOG00000016371","309570","Slc18b1"
"ENSRNOG00000016411","65139","Rps12"
"ENSRNOG00000057952","120100344","LOC120100344"
"ENSRNOG00000061678","120100476","Snord100"
"ENSRNOG00000054517","120100393","Snora33"
"ENSRNOG00000016627","292172","Eya4"
"ENSRNOG00000016700","252856","Tcf21"
"ENSRNOG00000011161","308028","Slc2a12"
"ENSRNOG00000011815","29517","Sgk1"
"ENSRNOG00000059251","108349468","LOC108349468"
"ENSRNOG00000012122","361459","Clvs2"
"ENSRNOG00000012609","59299","Trdn"
"ENSRNOG00000029608","102551716","Nkain2"
"ENSRNOG00000013323","292188","Rnf217"
"ENSRNOG00000021478","689256","Tpd52l1"
"ENSRNOG00000021442","361462","Hddc2"
"ENSRNOG00000013364","155430","Hey2"
"ENSRNOG00000014004","498995","Ncoa7"
"ENSRNOG00000014190","246769","Hint3"
"ENSRNOG00000014240","378794","Trmt11"
"ENSRNOG00000042944","689399","Cenpw"
"ENSRNOG00000011568","498997","Rspo3"
"ENSRNOG00000011588","308051","Rnf146"
"ENSRNOG00000011622","361465","Echdc1"
"ENSRNOG00000042309","292199","Kiaa0408L"
"ENSRNOG00000012324","108349256","Soga3"
"ENSRNOG00000023407","364656","Mrpl36"
"ENSRNOG00000028357","502225","Lrrc14b"
"ENSRNOG00000013331","157074","Sdha"
"ENSRNOG00000014485","308061","Pdcd6"
"ENSRNOG00000014721","498999","Ahrr"
"ENSRNOG00000039776","252881","Exoc3"
"ENSRNOG00000015159","24784","Slc9a3"
"ENSRNOG00000015465","308064","Cep72"
"ENSRNOG00000028261","361466","Tppp"
"ENSRNOG00000039743","499000","Zdhhc11"
"ENSRNOG00000015676","308067","Brd9"
"ENSRNOG00000015810","292206","Trip13"
"ENSRNOG00000016103","308068","Nkd2"
"ENSRNOG00000016372","308069","Slc12a7"
"ENSRNOG00000026501","664630","Slc6a19"
"ENSRNOG00000025327","301965","Tert"
"ENSRNOG00000016923","316916","Clptm1l"
"ENSRNOG00000017302","24898","Slc6a3"
"ENSRNOG00000017930","361467","Lpcat1"
"ENSRNOG00000012720","306655","Irx4"
"ENSRNOG00000012742","306657","Irx2"
"ENSRNOG00000033609","306659","Irx1"
"ENSRNOG00000016812","306664","Adamts16"
"ENSRNOG00000023053","306665","Ice1"
"ENSRNOG00000055337","120099033","LOC120099033"
"ENSRNOG00000017150","290939","Med10"
"ENSRNOG00000034075","679949","Ube2ql1"
"ENSRNOG00000017254","361191","Nsun2"
"ENSRNOG00000017601","24950","Srd5a1"
"ENSRNOG00000017613","306672","Tent4a"
"ENSRNOG00000017678","680107","Ap2b1-ps1"
"ENSRNOG00000032150","81636","Adcy2"
"ENSRNOG00000027422","290946","Fastkd3"
"ENSRNOG00000017826","290947","Mtrr"
