"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000046121","100909671","LOC100909671"
"ENSRNOG00000010507","25335","Mmp7"
"ENSRNOG00000050553","362802","Atp6v1c2"
"ENSRNOG00000007364","299156","Rab15"
"ENSRNOG00000006926","297932","Atp6v0d2"
"ENSRNOG00000047175","24273","Cryaa"
"ENSRNOG00000013034","361003","Dusp29"
"ENSRNOG00000036921","103693420","LOC103693420"
"ENSRNOG00000027767","192208","Slc38a5"
"ENSRNOG00000003533","60586","Clcn4"
"ENSRNOG00000000636","309729","Rtkn2"
"ENSRNOG00000001757","288044","Tm4sf19"
"ENSRNOG00000030187","117033","Mmp12"
"ENSRNOG00000052573","120102082","Snord17"
"ENSRNOG00000024435","288611","Galnt17"
"ENSRNOG00000051691","363677","Gjd3"
"ENSRNOG00000001476","304407","Cldn4"
"ENSRNOG00000049766","81779","Sctr"
"ENSRNOG00000049880","501201","Tmem200c"
"ENSRNOG00000042717","365871","Ciart"
"ENSRNOG00000024762","302826","Frmd7"
"ENSRNOG00000020247","361705","Cnih2"
"ENSRNOG00000006950","29520","Padi3"
"ENSRNOG00000018339","499298","Cabp2"
"ENSRNOG00000058909","103689992","Rps9"
"ENSRNOG00000025551","500853","Rgs22"
"ENSRNOG00000022321","308773","Hapln3"
"ENSRNOG00000059787","120102752","LOC120102752"
"ENSRNOG00000020150","84388","Il18bp"
"ENSRNOG00000029173","680575","Rpl22l2"
"ENSRNOG00000008970","306055","Pcdh17"
"ENSRNOG00000021027","24309","Dbp"
"ENSRNOG00000033059","100361647","Galnt6"
"ENSRNOG00000020539","24571","Muc1"
"ENSRNOG00000002429","317221","Rtl3"
"ENSRNOG00000038286","498287","Slamf6"
"ENSRNOG00000024197","100362345","LOC100362345"
"ENSRNOG00000020807","308492","Wdr62"
"ENSRNOG00000031189","66029","Ido1"
"ENSRNOG00000016573","252900","Dgat2"
"ENSRNOG00000006368","81514","Lrrn3"
"ENSRNOG00000058285","364729","Nme8"
"ENSRNOG00000022521","499204","Ddias"
"ENSRNOG00000011271","307449","Mcc"
"ENSRNOG00000045781","100526622","Mir3561"
"ENSRNOG00000028085","313453","Tmem255a"
"ENSRNOG00000020706","54263","Kcnn3"
"ENSRNOG00000028041","171409","Tnnt1"
"ENSRNOG00000056617","361004","Zswim8"
"ENSRNOG00000020731","140591","Ppfia3"
"ENSRNOG00000037275","497955","Tlcd2"
"ENSRNOG00000010610","79242","Hpgd"
"ENSRNOG00000027228","681211","Mogat2"
"ENSRNOG00000007951","313878","Galnt14"
"ENSRNOG00000046343","684028","Cryga"
"ENSRNOG00000018870","64057","Hapln2"
"ENSRNOG00000004470","170819","Il24"
"ENSRNOG00000016112","499342","Cd274"
"ENSRNOG00000036648","103691261","LOC103691261"
"ENSRNOG00000036631","309212","Ptgdr2"
"ENSRNOG00000048145","25033","Sstr1"
"ENSRNOG00000012281","295498","Adh6a"
"ENSRNOG00000000439","81722","Ager"
"ENSRNOG00000005871","60582","Il1rn"
"ENSRNOG00000009875","116463","Akr1b7"
"ENSRNOG00000037310","100270669","Riiad1"
"ENSRNOG00000028513","498211","RGD1560523"
"ENSRNOG00000011649","362202","Epb42"
